"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:ilam","ilam","Ilam",2006,545787,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",543470,99.5755,,,,,,18802.7016,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=542878;christian=508;zoroastrian=46;jew=1;other=37;not_stated=2317;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=ilam;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:kerman","kerman","Kerman",2006,2652413,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",2644484,99.7011,,,,,,183150.974,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=2638896;christian=2603;zoroastrian=1171;jew=75;other=1739;not_stated=7929;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=kerman;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:kermanshah","kermanshah","Kermanshah",2006,1879385,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1874338,99.7315,,,,,,23447.82,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1872360;christian=1177;zoroastrian=116;jew=50;other=635;not_stated=5047;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=kermanshah;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:khorasan_yazd","khorasan_yazd","Razavi Khorasan, South Khorasan and Yazd",2006,7220317,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",7201755,99.7429,,,,,,347578.7744,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=7189968;christian=4217;zoroastrian=4440;jew=70;other=3060;not_stated=18562;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=khorasan_yazd;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:khuzestan","khuzestan","Khuzestan",2006,4274979,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",4259104,99.6287,,,,,,63838.1011,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=4252045;christian=3691;zoroastrian=319;jew=27;other=3022;not_stated=15875;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=khuzestan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:kohgiluyeh_boyer_ahmad","kohgiluyeh_boyer_ahmad","Kohgiluyeh and Boyer-Ahmad",2006,634299,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",632311,99.6866,,,,,,13369.8896,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=631577;christian=477;zoroastrian=85;jew=5;other=167;not_stated=1988;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=kohgiluyeh_boyer_ahmad;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:kordestan","kordestan","Kordestan",2006,1440156,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1433036,99.5056,,,,,,29629.5434,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1431463;christian=1207;zoroastrian=148;jew=53;other=165;not_stated=7120;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=kordestan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:lorestan","lorestan","Lorestan",2006,1716527,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1711320,99.6967,,,,,,29118.6616,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1709974;christian=1121;zoroastrian=131;jew=18;other=76;not_stated=5207;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=lorestan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:markazi","markazi","Markazi",2006,1351257,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1345866,99.601,,,,,,28176.7069,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1344498;christian=1023;zoroastrian=183;jew=5;other=157;not_stated=5391;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=markazi;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:mazandaran","mazandaran","Mazandaran",2006,2922432,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",2914617,99.7326,,,,,,24753.2843,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=2908877;christian=1649;zoroastrian=111;jew=3;other=3977;not_stated=7815;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=mazandaran;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:north_khorasan","north_khorasan","North Khorasan",2006,811572,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",809059,99.6904,,,,,,25138.1361,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=808403;christian=529;zoroastrian=74;jew=0;other=53;not_stated=2513;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=north_khorasan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:qazvin","qazvin","Qazvin",2006,1143200,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1140183,99.7361,,,,,,15639.8797,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1138690;christian=782;zoroastrian=61;jew=12;other=638;not_stated=3017;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=qazvin;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:qom","qom","Qom",2006,1046737,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1043491,99.6899,,,,,,11602.5101,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1042845;christian=594;zoroastrian=44;jew=0;other=8;not_stated=3246;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=qom;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:semnan","semnan","Semnan",2006,589742,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",587301,99.5861,,,,,,90496.2335,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=586297;christian=329;zoroastrian=29;jew=1;other=645;not_stated=2441;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=semnan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:sistan_baluchestan","sistan_baluchestan","Sistan and Baluchestan",2006,2405742,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",2396981,99.6358,,,,,,174603.5097,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=2393396;christian=2661;zoroastrian=318;jew=4;other=602;not_stated=8761;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=sistan_baluchestan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:tehran_alborz","tehran_alborz","Tehran and Alborz",2006,13422366,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",13386105,99.7298,,,,,,19075.2386,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=13295181;christian=56076;zoroastrian=9867;jew=5040;other=19941;not_stated=36261;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=tehran_alborz;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:west_azarbaijan","west_azarbaijan","West Azarbaijan",2006,2873459,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",2864907,99.7024,,,,,,37185.7673,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=2855354;christian=7562;zoroastrian=344;jew=37;other=1610;not_stated=8552;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=west_azarbaijan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:zanjan","zanjan","Zanjan",2006,964601,"SCI published census population for 2006; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",962243,99.7555,,,,,,22206.302,,,"sci-census-1385-religion-ostan-2006|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=961569;christian=484;zoroastrian=133;jew=6;other=51;not_stated=2358;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=zanjan;boundary_stability_unverified"
"IR","ir-province-concordance28-naturalearth10m","province","ir-province-concordance28-naturalearth10m:ardabil","ardabil","Ardabil",2011,1248488,"SCI published census population for 2011; the total is the source Total (جمع) for the concordance unit. This product renders the census record of religious affiliation as the Statistical Centre of Iran (SCI) publishes it. The published categories are Total, Muslim, Christian, Zoroastrian, Jew, Other, and Not stated. Identities outside these recognised categories, including unrecognised religious minorities, do not appear in the official record. The published tables provide no rule for assigning such identities to the Other category or the Not stated category, and this product makes no such assignment.",1246064,99.8058,,,,,,20182.4907,,,"sci-yearbook-1390-table-2-18-religion-ostan-2011|naturalearth-10m-admin1-iran","census_affiliation_recognised_frame;affiliation=total_minus_not_stated;muslim=1244782;christian=999;zoroastrian=225;jew=11;other=47;not_stated=2424;source_categories_verbatim=Total|Muslim|Christian|Zoroastrian|Jew|Other|Not stated;no_religion_category_absent_in_source;exact_national_reconciliation;concordance_unit=ardabil;boundary_stability_unverified"
