"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1320PL","SC1320PL","Pointe Larue",2022,3267,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",2959,90.5724,,,,,,3.35,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2373;Anglican=115;Islam=71;Hindu=104;Christian (Other)=296;Unable to classify=8;Other (Specify)=123;Missing=177"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1301AA","SC1301AA","Anse Aux Pins",2022,3898,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",3444,88.353,,,,,,2.4569,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2792;Anglican=121;Islam=68;Hindu=91;Christian (Other)=372;Unable to classify=20;Other (Specify)=168;Missing=266"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1305AR","SC1305AR","Anse Royale",2022,4552,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",4093,89.9165,,,,,,7.1599,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=3067;Anglican=237;Islam=107;Hindu=146;Christian (Other)=536;Unable to classify=35;Other (Specify)=253;Missing=171"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1323TA","SC1323TA","Takamaka",2022,3528,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",3007,85.2324,,,,,,14.2265,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2306;Anglican=49;Islam=57;Hindu=330;Christian (Other)=265;Unable to classify=13;Other (Specify)=133;Missing=375"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1304AC","SC1304AC","Au Cap",2022,5168,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",4440,85.9133,,,,,,8.2727,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=3206;Anglican=292;Islam=87;Hindu=221;Christian (Other)=634;Unable to classify=27;Other (Specify)=232;Missing=469"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1406BL","SC1406BL","Baie Lazare",2022,4265,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",3441,80.68,,,,,,12.061,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2838;Anglican=68;Islam=155;Hindu=75;Christian (Other)=305;Unable to classify=41;Other (Specify)=239;Missing=544"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1402AB","SC1402AB","Anse Boileau",2022,4595,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",3651,79.4559,,,,,,12.0223,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2961;Anglican=121;Islam=52;Hindu=77;Christian (Other)=440;Unable to classify=26;Other (Specify)=211;Missing=707"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1413GM","SC1413GM","Grand Anse Mahe",2022,3425,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",2976,86.8905,,,,,,15.6219,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2336;Anglican=144;Islam=98;Hindu=131;Christian (Other)=267;Unable to classify=12;Other (Specify)=199;Missing=238"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1421PG","SC1421PG","Port Glaud",2022,2773,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",2151,77.5694,,,,,,25.2437,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=1788;Anglican=63;Islam=63;Hindu=20;Christian (Other)=217;Unable to classify=12;Other (Specify)=178;Missing=432"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1510BO","SC1510BO","Belombre",2022,3823,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",3213,84.0439,,,,,,9.3984,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2370;Anglican=304;Islam=108;Hindu=126;Christian (Other)=305;Unable to classify=20;Other (Specify)=226;Missing=364"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1508BV","SC1508BV","Beau Vallon",2022,4740,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",3667,77.3629,,,,,,4.456,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2854;Anglican=202;Islam=70;Hindu=158;Christian (Other)=383;Unable to classify=35;Other (Specify)=313;Missing=725"
"SC","sc-district-2020-cod-ab-nbs-adm3","district","sc-district-2020-cod-ab-nbs-adm3:SC1512GL","SC1512GL","Glacis",2022,3803,"Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.",3304,86.8788,,,,,,6.8529,,,"sc-census-2022-table-b4-1-religion-by-district|cod-ab-syc-nbs-adm3-2020","frame_2022_eight_category_integer_counts;affiliation=Catholic+Anglican+Islam+Hindu+Christian(Other);no_religion_line=absent(null);table_3_2_vs_b4_1_discrepancy=5_persons_christian_other_vs_unable_to_classify;census_affiliation;all_households_universe;single_select_reported_religion;religious_affiliation_percent_is_five_named_religions_share;no_religion_not_separately_tabulated_folded_into_other_specify;other_specify_unable_to_classify_missing_are_disclosed_residuals;affiliation_share_below_100_by_construction;single_wave_2022_district_product;denominator_is_all_households_population_102612;licence_needs_review_nbs_all_rights_reserved_prior_consent_build_then_ask;boundary_cc_by_igo_ocha_cod_ab_nbs;source_categories_verbatim=Catholic=2673;Anglican=166;Islam=126;Hindu=71;Christian (Other)=268;Unable to classify=53;Other (Specify)=213;Missing=233"
