field,allowed_value,meaning
public_access_status,private,Source indicates private or restricted access
public_access_status,unknown,Access status is unknown
site_type,place_of_worship,Generic place of worship
site_type,chapel,Chapel
site_type,church,Church
site_type,mosque,Mosque
site_type,temple,Temple
site_type,synagogue,Synagogue
site_type,marae_church,Marae church or church associated with marae
site_type,multi_use,Multi-use site
site_type,other,Other site type
site_type,unknown,Site type is unknown
purpose_code,worship,Worship use
purpose_code,community,Community use
purpose_code,education,Education use
purpose_code,social_services,Social services use
purpose_code,office,Office or administration use
purpose_code,heritage,Heritage or museum use
purpose_code,residential,Residential use
purpose_code,commercial,Commercial use
purpose_code,other,Other purpose
purpose_code,unknown,Purpose is unknown
quality_flag,osm_known_at_date,OpenStreetMap object was known at the relevant date
quality_flag,osm_lifecycle_date_used,OpenStreetMap lifecycle date was used as evidence
quality_flag,visual_confirmation,Visual evidence supports site existence or status
quality_flag,target_year_probability_estimated,Target-year status includes an explicit probability estimate
quality_flag,administrative_org_matched,Administrative organisation has been matched to a site
quality_flag,building_visible_use_unconfirmed,Building evidence exists but worship use is unconfirmed
quality_flag,directory_confirmed,Directory evidence confirms site or organisation
quality_flag,current_inventory_back_projected,Current inventory was projected back using external evidence
quality_flag,historical_address_changed,Historical address may differ from current address
quality_flag,geocoding_uncertain,Location requires geocoding review
quality_flag,needs_review,Row requires reviewer attention
quality_flag,other,Other quality flag
review_status,unreviewed,Extracted but not checked
review_status,needs_review,Requires reviewer decision
review_status,accepted,Accepted for ingestion
review_status,excluded,Excluded from ingestion
review_status,deferred,Deferred to later ingestion round
match_method,exact_identifier,Matched by exact stable identifier
match_method,osm_id,Matched by OpenStreetMap identifier
match_method,name_address,Matched by name and address
match_method,geocoded_address,Matched by geocoded address
match_method,spatial_proximity,Matched by spatial proximity
match_method,manual_review,Matched by manual review
match_method,unmatched,No candidate match found
match_confidence,high,Strong evidence for match
match_confidence,medium,Plausible match requiring normal review
match_confidence,low,Weak match requiring careful review
match_confidence,none,No match confidence assigned
geocoding_basis,source_coordinates,Coordinates are given directly by the source
geocoding_basis,historical_map,Location was inferred from a historical map
geocoding_basis,modern_geocoder,Location was inferred from a modern address geocoder
geocoding_basis,manual_match,Location was inferred by manual matching
geocoding_basis,existing_osm_site,Location was inferred from an existing OpenStreetMap site
geocoding_basis,gazetteer_or_road_rename,Location was inferred from a gazetteer or road-renaming source
geocoding_basis,property_record,Location was inferred from a property or parcel record
geocoding_basis,described_locality,Coordinates are the centre of a described locality with a recorded uncertainty radius
geocoding_basis,regional_only,Coordinates are the centre of a broad approximate area with a recorded uncertainty radius
geocoding_basis,unknown,Geocoding basis is unknown
geocoding_confidence,high,Strong evidence for coordinates or modern address
geocoding_confidence,medium,Plausible geocoding requiring normal review
geocoding_confidence,low,Weak geocoding requiring careful review
geocoding_confidence,none,No geocoding confidence assigned
visual_verification_source,osm_cartography,OpenStreetMap cartographic or object-history evidence
visual_verification_source,street_imagery,Street-level imagery
visual_verification_source,aerial_imagery,Aerial or satellite imagery
visual_verification_source,field_observation,Direct field observation
visual_verification_source,street_map,Street map or road map
visual_verification_source,historical_map,Historical map
visual_verification_source,none,No visual verification used
visual_verification_source,other,Other visual verification source
target_year_status,present,Source supports presence or active worship in the target year
target_year_status,absent,Source supports absence or non-use in the target year
target_year_status,uncertain,Source is relevant but status is unclear
target_year_status,not_assessed,Source has not been assessed for this target year
privacy_flag,clear,No obvious privacy issue in extracted fields
privacy_flag,needs_review,Potential privacy concern requires review
privacy_flag,restricted,Contains restricted or sensitive information outside public release
licence_flag,clear,Licence appears compatible with internal extraction
licence_flag,needs_review,Licence or redistribution status requires review
licence_flag,restricted,Licence restricts storage or redistribution
decision,accept,Accept the row for ingestion
decision,exclude,Exclude the row from ingestion
decision,defer,Defer the row
decision,revise,Revise and resubmit the row
decision,needs_source,Obtain more source evidence
