name,country_code,religion,denomination_code,taxonomy_version,lat,lng,locality,containing_area,geocoding_basis,location_confidence,source_locator,source_url,first_date,last_date,date_confidence,culturally_sensitive,notes
"NTM (Neil Thomas Ministries), Manples",VU,Neil Thomas Ministries,,,-17.7149,168.3090,Manples,Port Vila,described_locality,low,Part Two p.23 (Tebakor); Part One no. 30,,,2010,,,Point is the OSM locality centroid; verify on visit.
"Seventh-day Adventist Church, Kaweriki",VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,-17.7149,168.3090,Manples,Port Vila,described_locality,low,Part Two p.23 (Manples); Part One no. 39,,,2010,,,Point is the OSM locality centroid; verify on visit.
"Elim Church, Manples",VU,Pentecostal (Korean mission),christian.pentecostal,2026-06-12.1,-17.7149,168.3090,Manples,Port Vila,described_locality,low,Part Two p.23 (Manples); Part One no. 24,,1999,2006-07,medium,,Founded by Korean missionaries with a former AOG pastor who left AOG in 1999. Point is the OSM locality centroid; verify on visit.
"Presbyterian Church, Matatempoa",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7149,168.3090,Manples,Port Vila,described_locality,low,Part Two p.23 (Manples); Part One no. 35,,,2010,,,Point is the OSM locality centroid; verify on visit.
"Presbyterian Church, Kokorako",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7149,168.3090,Manples,Port Vila,described_locality,low,Part Two p.23 (Manples); Part One no. 35,,,2010,,,Point is the OSM locality centroid; verify on visit.
Word Christian Fellowship (Jesus Only),VU,Pentecostal (AOG breakaway),christian.pentecostal,2026-06-12.1,-17.7113,168.3120,Agathis,Port Vila,described_locality,low,Part Two p.24 (Agathis); Part One no. 49,,1973,2010,medium,,Breakaway from AOG 1973; first called Jesus Only. Point is the OSM locality centroid; verify on visit.
"NTM (Neil Thomas Ministries) headquarters, Agathis",VU,Neil Thomas Ministries,,,-17.7113,168.3120,Agathis,Port Vila,described_locality,low,Part Two p.24 (Agathis); Part One no. 30,,1976,2010,medium,,Founder arrived 1976; earlier ground bought in Nambatu early 1980s (Kauman Bible College); headquarters now at Atakis/Agathis with bible college and nursing centre; about 15 centres in Port Vila area. Point is the OSM locality centroid; verify on visit.
"Anglican Church, main centre, Tagabe",VU,Anglican,christian.anglican,2026-06-12.1,-17.7067,168.3094,Tagabe,Port Vila,described_locality,low,Part Two p.24 (Tagabe); Part One no. 1,,,2010,,,Main centre of the Anglican Church in Port Vila. Point is the OSM locality centroid; verify on visit.
Bible Church,VU,Evangelical (breakaway from New Covenant; Evangelical Bible Mission support),christian.evangelical,2026-06-12.1,-17.7067,168.3094,Tagabe,Port Vila,described_locality,low,Part Two p.25 (Tagabe); Part One no. 6,,1993,2010-02,medium,,Founded 1993 after leadership dispute in New Covenant; US missionary support from 1995. Point is the OSM locality centroid; verify on visit.
Christ Baptist Church,VU,Baptist,christian.baptist,2026-06-12.1,-17.7067,168.3094,"Platiniere estate, Tagabe",Port Vila,described_locality,low,Part Two p.25 (Tagabe); Part One no. 9,,,2010,,,"US missionaries; runs a primary school. Source is the mission web page, not an interview. Point is the OSM locality centroid; verify on visit."
Word Breakthrough,VU,Pentecostal (World Breakthrough network; breakaway from Presbyterian),christian.pentecostal,2026-06-12.1,-17.7067,168.3094,"Platiniere estate, Tagabe",Port Vila,described_locality,low,Part Two p.25 (Tagabe); Part One no. 48,,,2010-02,,,70-80 members. Point is the OSM locality centroid; verify on visit.
Sowing Faith Seed,VU,Pentecostal (World Breakthrough network; ALM breakaway),christian.pentecostal,2026-06-12.1,-17.7067,168.3094,Tagabe,Port Vila,described_locality,low,Part Two p.26 (Tagabe); Part One no. 40,,2001,2010-03,medium,,Founded 2001; in the mainly Tanna-settled area around the airport; building a kindergarten. Locality inferred from section heading. Point is the OSM locality centroid; verify on visit.
"Presbyterian Church, Cliffdon",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7067,168.3094,Tagabe,Port Vila,described_locality,low,Part Two p.26 (Tagabe); Part One no. 35,,,2010,,,Point is the OSM locality centroid; verify on visit.
"Catholic Church, Blacksands (planned)",VU,Catholic,christian.catholic,2026-06-12.1,-17.7115,168.2968,Blacksands,Port Vila,described_locality,low,Part Two p.26 (Blacksands); Part One no. 7,,,2010,,,In 2010 a piece of land was intended for a Catholic church; no building reported. Verify whether built. Point is the OSM locality centroid; verify on visit.
"Seventh-day Adventist Church, Olwi",VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,-17.7115,168.2968,Blacksands,Port Vila,described_locality,low,Part Two p.26 (Blacksands); Part One no. 39,,,2010,,,Point is the OSM locality centroid; verify on visit.
Church of the Nazarene,VU,Nazarene,christian.nazarene,2026-06-12.1,-17.7115,168.2968,Blacksands,Port Vila,described_locality,low,Part Two p.26 (Blacksands); Part One no. 14,,,2010,,,No interview obtained; mission web pages listed p.36. Point is the OSM locality centroid; verify on visit.
Renewal Church,VU,Christian (indigenous charismatic church),,,-17.7115,168.2968,Blacksands,Port Vila,described_locality,low,Part Two p.27 (Blacksands); Part One no. 37,,1980,2006-07,medium,,Founded shortly after the Santo rebellion (1980) by Nagriamel leaders; first_date approximate. Branches on most islands. Locality inferred from section heading. Point is the OSM locality centroid; verify on visit.
Vanuatu Fellowship blong ol Pikinini blong God,VU,Pentecostal (NTM breakaway; World Breakthrough network),christian.pentecostal,2026-06-12.1,-17.7115,168.2968,Blacksands,Port Vila,described_locality,low,Part Two p.27 (Blacksands); Part One no. 45,,1998,2010-04,medium,,Near AOG Blacksands; broke from NTM 1998; 50-100 members. Point is the OSM locality centroid; verify on visit.
"Assembly of God, Blacksands branch",VU,Assemblies of God,christian.pentecostal,2026-06-12.1,-17.7115,168.2968,Blacksands,Port Vila,described_locality,low,Part Two p.27 (Blacksands); Part One no. 5,,,2010,,,Point is the OSM locality centroid; verify on visit.
ELOHIM Family Assembly,VU,Christian (Hebraic-practice assembly),,,-17.7115,168.2968,Blacksands,Port Vila,described_locality,low,Part Two p.28 (Blacksands); Part One no. 17,,2007,2010-03,medium,,"Founded 2007 with a bible study school; branches Pentecost, Santo, Aneityum. Locality inferred from section heading. Point is the OSM locality centroid; verify on visit."
"Freedom of Worship centre, Malapoa",VU,Christian (non-denominational fellowship),christian.nondenominational,2026-06-12.1,-17.7260,168.3030,Malapoa,Port Vila,described_locality,low,Part Two p.28 (Malapoa); Part One no. 21,,,2010,,,One of three Freedom of Worship centres. Point is the OSM locality centroid; verify on visit.
"NTM (Neil Thomas Ministries) branch, Malapoa",VU,Neil Thomas Ministries,,,-17.7260,168.3030,Malapoa,Port Vila,described_locality,low,Part Two p.28 (Malapoa); Part One no. 30,,,2010,,,Point is the OSM locality centroid; verify on visit.
Eklesia (Christian Mission Centre),VU,Pentecostal (Christian Mission Centre movement),christian.pentecostal,2026-06-12.1,-17.7260,168.3030,Malapoa,Port Vila,described_locality,low,Part Two p.28 (Malapoa); Part One no. 10,,,2010,,,CMC founded after the Every Home for Christ crusade in the 1990s; Eklesia recognised as the legitimate Port Vila CMC branch 1999. Point is the OSM locality centroid; verify on visit.
"Church of Christ, Beverly Hills",VU,Church of Christ,christian.church_of_christ,2026-06-12.1,-17.7245,168.3251,Beverly Hills,Port Vila,described_locality,low,Part Two p.29 (Beverly Hills); Part One no. 12,,,2010,,,About 50 members. Point is the OSM locality centroid; verify on visit.
"Presbyterian Church, Brian Memorial",VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7245,168.3251,Beverly Hills,Port Vila,described_locality,low,Part Two p.29 (Beverly Hills); Part One no. 35,,,2010,,,Point is the OSM locality centroid; verify on visit.
"Freedom of Worship, Half road Pango",VU,Christian (non-denominational fellowship),christian.nondenominational,2026-06-12.1,-17.7600,168.3050,Half road Pango,Pango,described_locality,low,Part Two p.29 (Half road Pango); Part One no. 21,,1999,2006-07,medium,,"Ministry founded 1999 by a group that left NTM via Praise and Worship; about 30 members; centres Malapoa, Erakor Bridge, Half road Pango. Point is the OSM locality centroid; verify on visit."
"Freedom of Worship centre, Erakor Bridge",VU,Christian (non-denominational fellowship),christian.nondenominational,2026-06-12.1,-17.7380,168.3339,Erakor Bridge,Erakor,map_georeference,medium,Part Two p.29 (Half road Pango); Part One no. 21,,,2006-07,,,Point is the OSM feature; verify on visit.
"Vanuatu Indigenous Seventh Day Adventist Church (Self-Supporting SDA), Pango headquarters",VU,Seventh-day Adventist (self-supporting breakaway),christian.seventh_day_adventist,2026-06-12.1,-17.7765,168.2907,Pango,Pango,described_locality,low,Part Two p.29 (Half road Pango); Part One no. 46,,1997,2010-02,medium,,Broke away from SDA 1997 over tithing; headquarters and first self-supporting ministry at Pango; signage 'Eselpako Seventh Day Adventist Church'; clinic at Pango. Point is the OSM locality centroid; verify on visit.
"Self-Supporting SDA, Erakor",VU,Seventh-day Adventist (self-supporting breakaway),christian.seventh_day_adventist,2026-06-12.1,-17.7744,168.3161,Erakor,Erakor,described_locality,low,Part Two p.29 (Half road Pango); Part One no. 46,,,2010-02,,,Point is the OSM locality centroid; verify on visit.
"Self-Supporting SDA, Teouma",VU,Seventh-day Adventist (self-supporting breakaway),christian.seventh_day_adventist,2026-06-12.1,-17.7700,168.3950,Teouma,"Efate (Teouma), Shefa",described_locality,low,Part Two p.29 (Half road Pango); Part One no. 46,,,2010-02,,,Point is the OSM locality centroid; verify on visit.
"Self-Supporting SDA, Roundabout bridge",VU,Seventh-day Adventist (self-supporting breakaway),christian.seventh_day_adventist,2026-06-12.1,,,Roundabout bridge,Port Vila,regional_only,low,Part Two p.29 (Half road Pango); Part One no. 46,,,2010-02,,,'Roundabout bridge' not located; ask Guy.
"Self-Supporting SDA, Blacksands",VU,Seventh-day Adventist (self-supporting breakaway),christian.seventh_day_adventist,2026-06-12.1,-17.7115,168.2968,Blacksands,Port Vila,described_locality,low,Part Two p.29 (Half road Pango); Part One no. 46,,,2010-02,,,Point is the OSM locality centroid; verify on visit.
"United Pentecostal Church International, Half road Pango",VU,United Pentecostal Church International,christian.pentecostal,2026-06-12.1,-17.7600,168.3050,Half road Pango,Pango,described_locality,low,Part Two p.30 (Half road Pango); Part One no. 43,,,2010,,,About 100 members. Point is the OSM locality centroid; verify on visit.
