name,country_code,religion,denomination_code,taxonomy_version,lat,lng,locality,location_as_given,containing_area,geocoding_basis,location_confidence,matched_osm_id,source_locator,source_url,first_date,last_date,date_confidence,culturally_sensitive,notes
Freshwind SDA Church,VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,-17.7129,168.3172,Ohlen Freswind,Port Vila,Port Vila,described_locality,low,,council list entry 11,,,2026-09,attested_operating,,Council gives 'Port Vila' only; locality read from the name (Freshwind = Ohlen Freswind).
Portoroki Seventh-day Adventist Church,VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,-17.7508,168.3146,,"Portoroki, Port Vila",Port Vila,osm_name_match,high,node/5349196221,council list entry 12,,,2026-09,attested_operating,,
Vanuatu Mission of Seventh-day Adventists HQ,VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,,,,Port Vila (PO Box 85),Port Vila,regional_only,low,,council list entry 13,,,2026-09,attested_operating,,Mission headquarters with a PO Box only; may not be a worship site.
RHEMA Vanuatu,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7575,168.3139,Nambatri,"Nambatri, Port Vila",Port Vila,described_locality,low,,council list entry 14,,,2026-09,attested_operating,,
Bible Church Vanuatu,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7057,168.3076,"Wan Smolbag, Tagabe","Tagabe, behind Wan Smol Bag Theatre",Port Vila,described_locality,medium,,council list entry 15,,,2026-09,attested_operating,,Point is the Wan Smolbag theatre (OSM); the church is described as behind it.
We Care Ministry AOG Church,VU,Assemblies of God,christian.pentecostal,2026-06-12.1,-17.7525,168.3177,,Numbatu,Port Vila,osm_name_match,high,way/332930201,council list entry 16,,,2026-09,attested_operating,,
Paton Memorial Church (PMC),VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7402,168.3159,,Independence park,Port Vila,osm_name_match,high,node/11817228242,council list entry 17,,,2026-09,attested_operating,,
United Revival Ministry,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7215,168.3205,Freswota 1,Fresh-wota one,Port Vila,described_locality,low,,council list entry 18,,,2026-09,attested_operating,,
Bethel Churches of Christ,VU,Church of Christ,christian.church_of_christ,2026-06-12.1,-17.7215,168.3205,Freswota 1,Fresh-wota one,Port Vila,described_locality,low,,council list entry 19,,,2026-09,attested_operating,,
Redeem Church,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7327,168.3155,"Route Pompidou, Stade",Pompiptu,Port Vila,described_locality,low,,council list entry 20,,,2026-09,attested_operating,,"'Pompiptu' read as Pompidou (Route Pompidou, Stade area); unverified reading."
Presbyterian Church,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7455,168.3189,,Seaside Paama,Port Vila,osm_name_match,high,way/333002330,council list entry 21,,,2026-09,attested_operating,,
Presbyterian Church,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7447,168.3210,Seaside,Seaside funtuna,Port Vila,described_locality,low,,council list entry 22,,,2026-09,attested_operating,,Seaside Futuna community.
Presbyterian Church,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7447,168.3210,Seaside,Seaside Tongoa,Port Vila,described_locality,low,,council list entry 23,,,2026-09,attested_operating,,Seaside Tongoa community.
Sarabulu Churches of Christ,VU,Church of Christ,christian.church_of_christ,2026-06-12.1,-17.7249,168.3120,,Opposite Anaburu Clinic,Port Vila,osm_name_match,high,node/6117356871,council list entry 24,,,2026-09,attested_operating,,
Sarabetu Churches of Christ,VU,Church of Christ,christian.church_of_christ,2026-06-12.1,-17.7426,168.3214,"Vila Central Hospital, Seaside",Opposite Hospital,Port Vila,described_locality,medium,,council list entry 25,,,2026-09,attested_operating,,Point is Vila Central Hospital (OSM); the church is described as opposite it.
Presbyterian Reform Church,VU,Presbyterian Reformed,christian.reformed,2026-06-12.1,-17.7191,168.3195,Freswota 5,Freshwota 5,Port Vila,described_locality,low,,council list entry 26,,,2026-09,attested_operating,,
Pentecostial Evangelical Fellowship (AOG),VU,Assemblies of God,christian.pentecostal,2026-06-12.1,-17.7191,168.3195,Freswota 5,Freshwota 5,Port Vila,described_locality,low,,council list entry 27,,,2026-09,attested_operating,,
Chineses Christian Church -Holy Light,VU,Christian (affiliation not stated),christian,2026-06-12.1,,,,(VCC),Port Vila,regional_only,low,,council list entry 28,,,2026-09,attested_operating,,Location given only as '(VCC)'; possibly meets at Vanuatu Christian Council premises. Ask the council.
SDA English,VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,,,,(VCC),Port Vila,regional_only,low,,council list entry 29,,,2026-09,attested_operating,,Location given only as '(VCC)'; possibly meets at Vanuatu Christian Council premises. Ask the council.
Churst Embassy,VU,Christian (affiliation not stated),christian,2026-06-12.1,,,,(VCC),Port Vila,regional_only,low,,council list entry 30,,,2026-09,attested_operating,,Location given only as '(VCC)'; possibly meets at Vanuatu Christian Council premises. Ask the council.
Bryan Memorial Presbyterian Church,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7245,168.3251,Beverly Hills,Bevelly Hills,Port Vila,described_locality,low,,council list entry 31,,,2026-09,attested_operating,,
Agabe Life Worship Centre (AOG),VU,Assemblies of God,christian.pentecostal,2026-06-12.1,-17.7245,168.3251,Beverly Hills,Bevelly Hills,Port Vila,described_locality,low,,council list entry 32,,,2026-09,attested_operating,,
Bevelly Hills Presbyterian Church,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7245,168.3251,Beverly Hills,Bevelly Hills,Port Vila,described_locality,low,,council list entry 33,,,2026-09,attested_operating,,
Christian Apostolic Fellowship (CAF),VU,Apostolic,,2026-06-12.1,-17.7245,168.3251,Beverly Hills,Bevelly Hills,Port Vila,described_locality,low,,council list entry 34,,,2026-09,attested_operating,,
Seventh Day Adventists,VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,-17.7247,168.3284,,Bevelly Hills,Port Vila,osm_name_match,high,node/6763543388,council list entry 35,,,2026-09,attested_operating,,
Bevelly Hills Churches of Christ,VU,Church of Christ,christian.church_of_christ,2026-06-12.1,-17.7245,168.3251,Beverly Hills,Bevelly Hills,Port Vila,described_locality,low,,council list entry 36,,,2026-09,attested_operating,,
Anglican Church,VU,Anglican,christian.anglican,2026-06-12.1,-17.7067,168.3094,Tagabe,Tagabe,Port Vila,described_locality,low,,council list entry 37,,,2026-09,attested_operating,,
Anglican Church,VU,Anglican,christian.anglican,2026-06-12.1,-17.7215,168.3205,Freswota,Freshwota,Port Vila,described_locality,low,,council list entry 38,,,2026-09,attested_operating,,
Anglican Church,VU,Anglican,christian.anglican,2026-06-12.1,-17.7447,168.3210,Seaside,Seaside Tonga,Port Vila,described_locality,low,,council list entry 39,,,2026-09,attested_operating,,"'Seaside Tonga', read as Seaside Tongoa."
Cliffton Presbyterian Church,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.6991,168.3193,"Bauerfield Airport, Tagabe",Airport,Port Vila,described_locality,low,,council list entry 40,,,2026-09,attested_operating,,Point is Bauerfield airport (OSM); the church is described as at the airport.
Presbyterian Church,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7067,168.3094,Tagabe,Tagabe Bridge,Port Vila,described_locality,low,,council list entry 41,,,2026-09,attested_operating,,Described as at Tagabe Bridge.
Presbyterian Church,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7163,168.3186,Ohlen Whitewood,Ohlen Whitwood,Port Vila,described_locality,low,,council list entry 42,,,2026-09,attested_operating,,
Apostolic Act International,VU,Apostolic,,2026-06-12.1,-17.7160,168.3172,Ohlen,Ohlen,Port Vila,described_locality,low,,council list entry 43,,,2026-09,attested_operating,,
Markere Presbyterian,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7160,168.3172,Ohlen,Ohlen Mataso,Port Vila,described_locality,low,,council list entry 44,,,2026-09,attested_operating,,Ohlen Mataso community.
Mautoa Freshwind Presbyterian Church,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7129,168.3172,Ohlen Freswind,Ohlen Freshwind,Port Vila,described_locality,low,,council list entry 45,,,2026-09,attested_operating,,
Apostic Life,VU,Apostolic Life Ministry,,2026-06-12.1,-17.7160,168.3172,Ohlen,Ohlen,Port Vila,described_locality,low,,council list entry 46,,,2026-09,attested_operating,,
Living Wota Church,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7215,168.3205,Freswota 3,Freshwota Three,Port Vila,described_locality,low,,council list entry 47,,,2026-09,attested_operating,,
Four Square Church,VU,Foursquare (Pentecostal),christian.pentecostal,2026-06-12.1,-17.7215,168.3205,Freswota 1,Freshwota One,Port Vila,described_locality,low,,council list entry 48,,,2026-09,attested_operating,,"OSM has a Foursquare Gospel Church at Tagabe, not Freswota; not matched."
Pakarua Presbyterian,VU,Presbyterian,christian.presbyterian,2026-06-12.1,-17.7154,168.3119,,Agasi,Port Vila,osm_name_match,high,node/4874870727,council list entry 49,,,2026-09,attested_operating,,"OSM spells it 'Pakaroa Presbyterian Church'; it sits in Agathis, the locality the council gives ('Agasi')."
Niel Thomas Ministry,VU,Neil Thomas Ministries,,2026-06-12.1,-17.7113,168.3120,Agathis,Agasi,Port Vila,described_locality,low,,council list entry 50,,,2026-09,attested_operating,,
Neil Thomas Ministry,VU,Neil Thomas Ministries,,2026-06-12.1,-17.7217,168.3186,,Freshwota Three,Port Vila,osm_name_match,medium,node/4336537376,council list entry 51,,,2026-09,attested_operating,,Point is an OSM node named 'NTM' in Freswota; a second NTM node sits 20 m away.
Seven Day Adventist Church,VU,Seventh-day Adventist,christian.seventh_day_adventist,2026-06-12.1,-17.7192,168.3181,Simbolo,Simbolo,Port Vila,described_locality,low,,council list entry 52,,,2026-09,attested_operating,,
Christian Mission Fellowship International,VU,Christian Mission Fellowship International,christian.pentecostal,2026-06-12.1,-17.7192,168.3181,Simbolo,Simbolo,Port Vila,described_locality,low,,council list entry 53,,,2026-09,attested_operating,,"See entry 10, Pasifika Harvest Centre (CMFI) at Simbolo; possibly the same congregation."
Glorious Church,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7192,168.3181,Simbolo,Simbolo,Port Vila,described_locality,low,,council list entry 54,,,2026-09,attested_operating,,
Apostolic Church,VU,Apostolic,,2026-06-12.1,-17.7164,168.3169,,Ohlen Nabaga,Port Vila,osm_name_match,medium,way/332869006,council list entry 55,,,2026-09,attested_operating,,Point is OSM 'Apostolic Church' in Ohlen; the council says Ohlen Nabaga.
Cornerstone,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7160,168.3172,Ohlen,Ohlen,Port Vila,described_locality,low,,council list entry 56,,,2026-09,attested_operating,,
Father’s House,VU,Christian (affiliation not stated),christian,2026-06-12.1,-17.7215,168.3205,Freswota 4,Freshwota four,Port Vila,described_locality,low,,council list entry 57,,,2026-09,attested_operating,,
New Covenant Church,VU,New Covenant Church,,2026-06-12.1,-17.7181,168.3139,,Namburu,Port Vila,osm_name_match,high,node/5371386023,council list entry 58,,,2026-09,attested_operating,,
Catholic Church,VU,Catholic,christian.catholic,2026-06-12.1,-17.7218,168.3132,Anabrou,Anaburu,Port Vila,described_locality,low,,council list entry 59,,,2026-09,attested_operating,,
Barai Catholic Church,VU,Catholic,christian.catholic,2026-06-12.1,-17.7535,168.3161,,Nambatu,Port Vila,osm_name_match,medium,way/332908898,council list entry 60,,,2026-09,attested_operating,,'Barai' read as Paray: OSM 'Eglise du Coeur Immaculé de Marie de Paray' in Nambatu.
Cathédrale du Sacré-Cœur (Sacred Heart Cathedral,VU,Catholic,christian.catholic,2026-06-12.1,-17.7346,168.3152,,Cathedral,Port Vila,osm_name_match,high,way/319762684,council list entry 61,,,2026-09,attested_operating,,
