"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kampong-thom","kampong-thom","Kampong Thom",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,99,,1,,,,12876.5951,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=99.0|Muslims=0.6|Christians=0.4|Other=0.0;buddhist_share=99.0;minority_share=1.0;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kampong-thom","kampong-thom","Kampong Thom",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,98.6,,1.4,,,,12876.5951,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=98.6|Muslims=1.0|Christian=0.3|Other=0.0;buddhist_share=98.6;minority_share=1.4;printed_row_sum=99.9;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kampot","kampot","Kampot",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,97.1,,2.9,,,,4740.6425,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=97.1|Muslims=2.7|Christians=0.2|Other=0.0;buddhist_share=97.1;minority_share=2.9;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kampot","kampot","Kampot",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,96.9,,3.1,,,,4740.6425,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=96.9|Muslims=2.8|Christian=0.2|Other=0.0;buddhist_share=96.9;minority_share=3.1;printed_row_sum=99.9;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kandal","kandal","Kandal",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,98,,2,,,,3269.5292,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=98.0|Muslims=1.2|Christians=0.7|Other=0.1;buddhist_share=98.0;minority_share=2.0;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kandal","kandal","Kandal",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,98.3,,1.7,,,,3269.5292,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=98.3|Muslims=1.2|Christian=0.4|Other=0.1;buddhist_share=98.3;minority_share=1.7;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kep","kep","Kep",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,98.7,,1.3,,,,152.5667,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=98.7|Muslims=1.2|Christians=0.0|Other=0.0;buddhist_share=98.7;minority_share=1.3;printed_row_sum=99.9;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kep","kep","Kep",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,97.5,,2.5,,,,152.5667,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=97.5|Muslims=1.7|Christian=0.7|Other=0.1;buddhist_share=97.5;minority_share=2.5;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:koh-kong","koh-kong","Koh Kong",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,95.2,,4.8,,,,11060.7513,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=95.2|Muslims=4.6|Christians=0.2|Other=0.0;buddhist_share=95.2;minority_share=4.8;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:koh-kong","koh-kong","Koh Kong",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,95.1,,4.9,,,,11060.7513,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=95.1|Muslims=4.6|Christian=0.2|Other=0.0;buddhist_share=95.1;minority_share=4.9;printed_row_sum=99.9;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kratie","kratie","Kratie",2008,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,94,,6,,,,12031.6751,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2008:Buddhist=94.0|Muslims=5.6|Christians=0.4|Other=0.1;buddhist_share=94.0;minority_share=6.0;printed_row_sum=100.1;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
"KH","kh-province-2017-geoboundaries-adm1","province","kh-province-2017-geoboundaries-adm1:kratie","kratie","Kratie",2019,,"No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.",,93.1,,6.9,,,,12031.6751,,,"nis-gpc-2019-table-2-5-1-religion-province|nis-gpc-2019-priority-table-a4-religion-national|geoboundaries-khm-adm1-2017","census_religion_distribution;frame_rebased_to_100_four_categories;reference_group_buddhist_largest_published_category;religious_affiliation_percent_is_buddhist_reference_share;no_religion_percent_is_minority_share_exact_complement;minority_share_arithmetic_on_published_categories_not_no_religion;not_stated_excluded_from_rebased_frame;composition_2019:Buddhist=93.1|Muslims=6.6|Christian=0.2|Other=0.1;buddhist_share=93.1;minority_share=6.9;printed_row_sum=100.0;row_sum_within_derived_bound_0.20pp;boundary_2017_geoboundaries_odbl;change_computable_2008_2019"
