"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","not_stated_count","not_stated_percent","religious_change","places_of_worship_count","places_per_10000_residents","land_area_sq_km","place_density_per_sq_km","source_dataset_id","source_construct","source_note","quality_flag"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-6","AT-6","Steiermark","1961","1137865","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1091973","95.97","45394","3.99","498","0.04",,,,"16417.0825913355",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-7","AT-7","Tirol","1961","462899","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","455548","98.41","7107","1.54","244","0.05",,,,"12651.2135916081",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-8","AT-8","Vorarlberg","1961","226323","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","224413","99.16","1809","0.8","101","0.04",,,,"2603.75271088104",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-9","AT-9","Wien","1961","1627566","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1495249","91.87","130522","8.02","1795","0.11",,,,"414.967380265824",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-1","AT-1","Burgenland","1971","272319","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","270246","99.24","727","0.27","1346","0.49",,,,"3965.30473270798",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-2","AT-2","Kärnten","1971","526759","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","508108","96.46","16664","3.16","1987","0.38",,,,"9545.13515230219",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-3","AT-3","Niederösterreich","1971","1420816","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1378569","97.03","35182","2.48","7065","0.5",,,,"19199.5431726801",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-4","AT-4","Oberösterreich","1971","1229972","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1189190","96.68","35829","2.91","4953","0.4",,,,"11987.5635278649",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-5","AT-5","Salzburg","1971","405115","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","388210","95.83","14851","3.67","2054","0.51",,,,"7162.33197705633",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-6","AT-6","Steiermark","1971","1195023","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1139766","95.38","50624","4.24","4633","0.39",,,,"16417.0825913355",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-7","AT-7","Tirol","1971","544483","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","531991","97.71","8621","1.58","3871","0.71",,,,"12651.2135916081",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-8","AT-8","Vorarlberg","1971","277154","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","271642","98.01","2748","0.99","2764","1",,,,"2603.75271088104",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-9","AT-9","Wien","1971","1619885","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1449824","89.5","155972","9.63","14089","0.87",,,,"414.967380265824",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-1","AT-1","Burgenland","1981","269771","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","267227","99.06","1848","0.69","696","0.26",,,,"3965.30473270798",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-2","AT-2","Kärnten","1981","536179","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","509878","95.09","23100","4.31","3201","0.6",,,,"9545.13515230219",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-3","AT-3","Niederösterreich","1981","1427849","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1363538","95.5","55586","3.89","8725","0.61",,,,"19199.5431726801",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-4","AT-4","Oberösterreich","1981","1269540","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1201069","94.61","55177","4.35","13294","1.05",,,,"11987.5635278649",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-5","AT-5","Salzburg","1981","442301","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","415216","93.88","23427","5.3","3658","0.83",,,,"7162.33197705633",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-6","AT-6","Steiermark","1981","1186525","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1099853","92.7","67781","5.71","18891","1.59",,,,"16417.0825913355",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-7","AT-7","Tirol","1981","586663","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","569562","97.09","13076","2.23","4025","0.69",,,,"12651.2135916081",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-8","AT-8","Vorarlberg","1981","305164","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","298587","97.84","4752","1.56","1825","0.6",,,,"2603.75271088104",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-9","AT-9","Wien","1981","1531346","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1299352","84.85","207292","13.54","24702","1.61",,,,"414.967380265824",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-1","AT-1","Burgenland","1991","270880","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","262671","96.97","4802","1.77","3407","1.26",,,,"3965.30473270798",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-2","AT-2","Kärnten","1991","547798","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","507467","92.64","31105","5.68","9226","1.68",,,,"9545.13515230219",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-3","AT-3","Niederösterreich","1991","1473813","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1330544","90.28","100673","6.83","42596","2.89",,,,"19199.5431726801",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-4","AT-4","Oberösterreich","1991","1333480","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1212585","90.93","84710","6.35","36185","2.71",,,,"11987.5635278649",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-5","AT-5","Salzburg","1991","482365","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","429358","89.01","33395","6.92","19612","4.07",,,,"7162.33197705633",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-6","AT-6","Steiermark","1991","1184720","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1068928","90.23","84467","7.13","31325","2.64",,,,"16417.0825913355",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-7","AT-7","Tirol","1991","631410","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","592403","93.82","18768","2.97","20239","3.21",,,,"12651.2135916081",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-8","AT-8","Vorarlberg","1991","331472","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","314001","94.73","9769","2.95","7702","2.32",,,,"2603.75271088104",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-9","AT-9","Wien","1991","1539848","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1134613","73.68","304562","19.78","100673","6.54",,,,"414.967380265824",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-1","AT-1","Burgenland","2001","277569","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","264893","95.43","11102","4","1574","0.57",,,,"3965.30473270798",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-2","AT-2","Kärnten","2001","559404","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","511282","91.4","43916","7.85","4206","0.75",,,,"9545.13515230219",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-3","AT-3","Niederösterreich","2001","1545804","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1357924","87.85","166832","10.79","21048","1.36",,,,"19199.5431726801",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-4","AT-4","Oberösterreich","2001","1376797","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1242490","90.24","120906","8.78","13401","0.97",,,,"11987.5635278649",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-5","AT-5","Salzburg","2001","515327","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","450133","87.35","49238","9.55","15956","3.1",,,,"7162.33197705633",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-6","AT-6","Steiermark","2001","1183303","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","1049369","88.68","117589","9.94","16345","1.38",,,,"16417.0825913355",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
"AT","at-bundesland-2017-geoboundaries","bundesland","at-bundesland-2017-geoboundaries:AT-7","AT-7","Tirol","2001","673504","Full-enumeration population census self-declaration; total population denominator includes the not-stated category","621399","92.26","35139","5.22","16966","2.52",,,,"12651.2135916081",,"statistik-austria-census-religion-bundesland-1951-2001","census_self_declared_religious_affiliation","Religious affiliation is total population minus Ohne Bekenntnis and Ohne Angabe/Unbekannt. Category detail changes across censuses; Sonstiges includes Islam in 1951 and 1961.","full_enumeration_census;not_stated_in_denominator"
