"priority","category","country_code","id","name","religion","denomination","address","amenity","building","lat","lng","tags_raw"
2,"hall_centre_house_site","NZ","w200088290","Advance Christian Outreach Centre","christian","pentecostal","31, Rangatira Street, Taupo, 3330","place_of_worship","yes","NA","NA","{""addr:city"":""Taupo"",""addr:housenumber"":""31"",""addr:place"":""Mountview School"",""addr:postcode"":""3330"",""addr:street"":""Rangatira Street"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""pentecostal"",""name"":""Advance Christian Outreach Centre"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w618481252","Afrikaanse Christian Church (Wellington) / Plimmerton Hall","christian","methodist","9, Sunset Parade, Plimmerton, Porirua, 5026","place_of_worship","yes","NA","NA","{""addr:city"":""Porirua"",""addr:housenumber"":""9"",""addr:postcode"":""5026"",""addr:street"":""Sunset Parade"",""addr:suburb"":""Plimmerton"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""methodist"",""name"":""Afrikaanse Christian Church (Wellington) / Plimmerton Hall"",""ref:linz:address_id"":""1446319"",""religion"":""christian"",""service_times"":""Su 09:30"",""start_date"":""2006"",""website"":""http://www.ackwellington.co.nz/""}"
2,"hall_centre_house_site","NZ","w607882199","Agape Wesleyan Methodist Tongan / Jack Dickey Community Hall","christian","methodist","174, Green Ln W, Greenlane, Auckland, 1051","place_of_worship","yes","NA","NA","{""addr:city"":""Auckland"",""addr:housenumber"":""174"",""addr:postcode"":""1051"",""addr:street"":""Green Ln W"",""addr:suburb"":""Greenlane"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""methodist"",""name"":""Agape Wesleyan Methodist Tongan / Jack Dickey Community Hall"",""religion"":""christian"",""start_date"":""1980""}"
2,"hall_centre_house_site","NZ","n12527833992","Al Iqra Islamic Centre - (Takanini Islamic Centre)","muslim","sunni","12A, Tironui Station Road West, Takanini, Auckland, 2112","place_of_worship","","-37.0512","174.9337","{""addr:city"":""Auckland"",""addr:housenumber"":""12A"",""addr:postcode"":""2112"",""addr:street"":""Tironui Station Road West"",""addr:suburb"":""Takanini"",""amenity"":""place_of_worship"",""contact:facebook"":""Al-Iqra-Islamic-Centre-109562737435524"",""denomination"":""sunni"",""mobile"":""+64 27 442 8785;+64 21 024 70734;+64 22 614 3261"",""name"":""Al Iqra Islamic Centre - (Takanini Islamic Centre)"",""religion"":""muslim""}"
2,"hall_centre_house_site","NZ","n12501069621","Al Mustafa Charity Centre","muslim","","3, Drury Street","place_of_worship","","-36.903","174.6886","{""addr:housenumber"":""3"",""addr:street"":""Drury Street"",""amenity"":""place_of_worship"",""contact:facebook"":""almustafa.nz"",""name"":""Al Mustafa Charity Centre"",""religion"":""muslim""}"
2,"hall_centre_house_site","NZ","w778740428","Al Qadiri Islamic Centre Manawatu","muslim","sunni","24, Jupiter Street, Milson, Palmerston North, 4414","place_of_worship","yes","NA","NA","{""addr:city"":""Palmerston North"",""addr:housenumber"":""24"",""addr:postcode"":""4414"",""addr:street"":""Jupiter Street"",""addr:suburb"":""Milson"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""sunni"",""name"":""Al Qadiri Islamic Centre Manawatu"",""ref:linz:address_id"":""530459"",""religion"":""muslim"",""start_date"":""1986""}"
2,"hall_centre_house_site","NZ","w338625191","All Saints Church Hall","christian","anglican","4, Peak Road, Kaukapakapa, Kaukapakapa, 0875","place_of_worship","yes","NA","NA","{""addr:city"":""Kaukapakapa"",""addr:housenumber"":""4"",""addr:postcode"":""0875"",""addr:street"":""Peak Road"",""addr:suburb"":""Kaukapakapa"",""amenity"":""place_of_worship"",""attribution"":""http://www.aucklandcouncil.govt.nz/EN/ratesbuildingproperty/propertyinformation/GIS_maps/Pages/opendata.aspx"",""building"":""yes"",""denomination"":""anglican"",""name"":""All Saints Church Hall"",""religion"":""christian"",""source"":""Auckland Council"",""start_date"":""1919"",""wikidata"":""Q134226012""}"
2,"hall_centre_house_site","NZ","w333703889","All Saints Community Church","christian","anglican;methodist","191, Sandwich Road, Saint Andrews, Hamilton, 3200","place_of_worship","yes","NA","NA","{""addr:city"":""Hamilton"",""addr:housenumber"":""191"",""addr:postcode"":""3200"",""addr:street"":""Sandwich Road"",""addr:suburb"":""Saint Andrews"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""anglican;methodist"",""name"":""All Saints Community Church"",""ref:linz:address_id"":""665741"",""religion"":""christian"",""wheelchair"":""yes""}"
2,"hall_centre_house_site","NZ","w908234827","Anglican Centre","christian","anglican","18, Eccleston Hill, Thorndon, Wellington, 6011","","yes","NA","NA","{""addr:city"":""Wellington"",""addr:housenumber"":""18"",""addr:postcode"":""6011"",""addr:street"":""Eccleston Hill"",""addr:suburb"":""Thorndon"",""building"":""yes"",""building:levels"":""2"",""denomination"":""anglican"",""name"":""Anglican Centre"",""office"":""religion"",""ref:linz:address_id"":""453429"",""religion"":""christian"",""website"":""https://www.anglican.org.nz/""}"
2,"hall_centre_house_site","NZ","w390019542","Anglican Parish Hall","unknown","anglican","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""anglican"",""name"":""Anglican Parish Hall""}"
2,"hall_centre_house_site","NZ","w906444789","Aokautere Community Church","christian","anglican","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""anglican"",""name"":""Aokautere Community Church"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w319216791","Assembly Hall Of Jehovah's Witnesses","christian","jehovahs_witness","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""jehovahs_witness"",""name"":""Assembly Hall Of Jehovah's Witnesses"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w411189369","Atawhai Community Church","christian","baptist","5, Todd Bush Road, Nelson, 7071","place_of_worship","yes","NA","NA","{""addr:city"":""Nelson"",""addr:hamlet"":""Todds Valley"",""addr:housenumber"":""5"",""addr:postcode"":""7071"",""addr:street"":""Todd Bush Road"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""baptist"",""name"":""Atawhai Community Church"",""ref:linz:address_id"":""1679824"",""religion"":""christian"",""website"":""https://sites.google.com/view/faithworks""}"
2,"hall_centre_house_site","NZ","w270737191","Auckland City Central Christian Centre","christian","","10-14, New North Road, Eden Terrace, Auckland, 1021","place_of_worship","yes","NA","NA","{""addr:city"":""Auckland"",""addr:housenumber"":""10-14"",""addr:place"":""Dalmation Cultural Society"",""addr:postcode"":""1021"",""addr:street"":""New North Road"",""addr:suburb"":""Eden Terrace"",""amenity"":""place_of_worship"",""building"":""yes"",""name"":""Auckland City Central Christian Centre"",""phone"":""+64 9 307 0481"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w60261078","Avondale Christian Centre","christian","assemblies_of_god","217, Rosebank Road, Avondale, Auckland, 1026","place_of_worship","yes","NA","NA","{""addr:city"":""Auckland"",""addr:housenumber"":""217"",""addr:place"":""Rosebank School Hall"",""addr:postcode"":""1026"",""addr:street"":""Rosebank Road"",""addr:suburb"":""Avondale"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""assemblies_of_god"",""name"":""Avondale Christian Centre"",""ref:linz:address_id"":""1362619"",""religion"":""christian"",""website"":""http://www.avondalechristiancentre.nz/""}"
2,"hall_centre_house_site","NZ","w415662923","Avondale Kingdom Hall of Jehovah's Witnesses","christian","jehovahs_witness","22, Saint Georges Road","place_of_worship","yes","NA","NA","{""addr:housenumber"":""22"",""addr:street"":""Saint Georges Road"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""jehovahs_witness"",""name"":""Avondale Kingdom Hall of Jehovah's Witnesses"",""religion"":""christian"",""website"":""https://www.jw.org/""}"
2,"hall_centre_house_site","NZ","w627934456","Avonside Community / Living Waters Community Church","christian","","125, Kerrs Road, Avonside, Christchurch, 8061","place_of_worship","yes","NA","NA","{""addr:city"":""Christchurch"",""addr:housenumber"":""125"",""addr:postcode"":""8061"",""addr:street"":""Kerrs Road"",""addr:suburb"":""Avonside"",""amenity"":""place_of_worship"",""building"":""yes"",""email"":""cohnjarr89@gmail.com"",""name"":""Avonside Community / Living Waters Community Church"",""phone"":""+64 3 381 0716"",""ref:linz:address_id"":""256955"",""religion"":""christian"",""service_times"":""Su 10:00""}"
2,"hall_centre_house_site","NZ","w330012955","Baha'i Centre","bahai","","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""name"":""Baha'i Centre"",""religion"":""bahai""}"
2,"hall_centre_house_site","NZ","w390147359","Bahai Centre","bahai","","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""name"":""Bahai Centre"",""religion"":""bahai""}"
2,"hall_centre_house_site","NZ","w253919413","Baptist Chrich Centre","christian","baptist","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""baptist"",""name"":""Baptist Chrich Centre"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w446429704","Bassett Street Church / Burwood Christian Centre","christian","","52-54, Bassett Street, Burwood, Christchurch, 8083","place_of_worship","yes","NA","NA","{""addr:city"":""Christchurch"",""addr:country"":""NZ"",""addr:housenumber"":""52-54"",""addr:postcode"":""8083"",""addr:street"":""Bassett Street"",""addr:suburb"":""Burwood"",""amenity"":""place_of_worship"",""building"":""yes"",""email"":""office@bcc.net.nz"",""name"":""Bassett Street Church / Burwood Christian Centre"",""phone"":""+64 3 383 4895"",""religion"":""christian"",""service_times"":""Su 10:00"",""start_date"":""1950's"",""website"":""https://www.bcc.net.nz/""}"
2,"hall_centre_house_site","NZ","w224196253","Beach Christian Centre / Freedom Church","christian","","100, Beach Road, Waihi Beach, 3611","place_of_worship","yes","NA","NA","{""addr:city"":""Waihi Beach"",""addr:housenumber"":""100"",""addr:place"":""Beach School Hall (The Cove)"",""addr:postcode"":""3611"",""addr:street"":""Beach Road"",""amenity"":""place_of_worship"",""building"":""yes"",""name"":""Beach Christian Centre / Freedom Church"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w443763338","Beckenham Methodist Community Church","christian","methodist","83, Malcolm Avenue, Beckenham, Christchurch, 8023","place_of_worship","yes","NA","NA","{""addr:city"":""Christchurch"",""addr:country"":""NZ"",""addr:housenumber"":""83"",""addr:postcode"":""8023"",""addr:street"":""Malcolm Avenue"",""addr:suburb"":""Beckenham"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""methodist"",""email"":""beckenham.methodist@gmail.com"",""name"":""Beckenham Methodist Community Church"",""phone"":""+64 3 942 2715"",""ref:linz:address_id"":""230733"",""religion"":""christian"",""service_times"":""Su 10:00"",""start_date"":""1928"",""website"":""https://www.methodist.org.nz/find_us/central_south_island/parish_information/beckenham/home""}"
2,"hall_centre_house_site","NZ","w682838161","Birkenhead Community Church","christian","nondenominational","33, Rawene Road, Birkenhead, Auckland, 0626","place_of_worship","yes","NA","NA","{""addr:city"":""Auckland"",""addr:housenumber"":""33"",""addr:postcode"":""0626"",""addr:street"":""Rawene Road"",""addr:suburb"":""Birkenhead"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""nondenominational"",""email"":""info@bcc.org.nz"",""name"":""Birkenhead Community Church"",""ref:linz:address_id"":""1073580"",""religion"":""christian"",""start_date"":""1912"",""website"":""https://www.bcc.org.nz/""}"
2,"hall_centre_house_site","NZ","w474729168","Birkenhead Islamic Centre","muslim","sunni","79, Onewa Road, Northcote, Birkenhead","place_of_worship","yes","NA","NA","{""addr:city"":""Birkenhead"",""addr:housenumber"":""79"",""addr:street"":""Onewa Road"",""addr:suburb"":""Northcote"",""amenity"":""place_of_worship"",""building"":""yes"",""contact:facebook"":""https://www.facebook.com/BirkenheadIslamicCentre/"",""contact:phone"":""+64 22 677 9931"",""denomination"":""sunni"",""height:note"":""high"",""name"":""Birkenhead Islamic Centre"",""note"":""Those want to do Salat has to ring Admin early so that he can open the door. 8 parking spaces in the front and two are for disabled Big tree near the entrance has been removed recently."",""religion"":""muslim"",""start_date"":""2006""}"
2,"hall_centre_house_site","NZ","w403002954","Blackball Community Church","christian","","45, Roa Road, Blackball, 7804","place_of_worship","yes","NA","NA","{""addr:city"":""Blackball"",""addr:district"":""Grey"",""addr:housenumber"":""45"",""addr:postcode"":""7804"",""addr:street"":""Roa Road"",""amenity"":""place_of_worship"",""building"":""yes"",""name"":""Blackball Community Church"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w619356283","Blockhouse Bay Community Church","christian","evangelical","76, Dundale Avenue, Blockhouse Bay, Auckland, 0600","place_of_worship","yes","NA","NA","{""addr:city"":""Auckland"",""addr:housenumber"":""76"",""addr:postcode"":""0600"",""addr:street"":""Dundale Avenue"",""addr:suburb"":""Blockhouse Bay"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""evangelical"",""email"":""info@bbcc.org.nz"",""fax"":""+64 9 626 6206"",""name"":""Blockhouse Bay Community Church"",""note"":""PO Box 48056 Blockhouse Bay Auckland 0644 https://www.facebook.com/blockhousebaycommunitychurch/"",""phone"":""+64 9 626 6284"",""religion"":""christian"",""service_times"":""Sundays 10.30am"",""start_date"":""1974"",""website"":""https://www.bbcc.org.nz/""}"
2,"hall_centre_house_site","NZ","w412590388","Bluestone House","unknown","","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""name"":""Bluestone House""}"
2,"hall_centre_house_site","NZ","n5490440444","Botany Christian Centre","christian","","","place_of_worship","","-36.9627","174.9019","{""amenity"":""place_of_worship"",""name"":""Botany Christian Centre"",""note"":""Postal address: 5 Matthew Road, Flat Bush, Auckland 2023"",""phone"":""+64 9 262 1368"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w215124542","Botany Life Community Church","christian","","575, Chapel Road, Dannemora, Auckland, 2016","place_of_worship","yes","NA","NA","{""addr:city"":""Auckland"",""addr:housenumber"":""575"",""addr:place"":""Botany Downs Secondary College"",""addr:postcode"":""2016"",""addr:street"":""Chapel Road"",""addr:suburb"":""Dannemora"",""amenity"":""place_of_worship"",""building"":""yes"",""name"":""Botany Life Community Church"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","n5415482357","BotanyLife Community Church","christian","","15, Botany Road, Howick, Auckland, 2010","place_of_worship","","-36.8998","174.9184","{""addr:city"":""Auckland"",""addr:housenumber"":""15"",""addr:postcode"":""2010"",""addr:street"":""Botany Road"",""addr:suburb"":""Howick"",""amenity"":""place_of_worship"",""email"":""office@botanylife.org.nz"",""name"":""BotanyLife Community Church"",""note"":""Postal address: PO Box 58-375, Botany, Auckland 2163 Church office: 272E Ti Rakau Drive, Burswood, Auckland 2013"",""phone"":""+64 9 274 4242"",""ref:linz:address_id"":""1590484"",""religion"":""christian"",""service_times"":""Su 09:00,11:00"",""website"":""https://www.botanylife.org.nz/""}"
2,"hall_centre_house_site","NZ","w306456803","Bridge Community Church","christian","baptist","23, McIntyre Road, Māngere Bridge, Auckland, 2022","place_of_worship","yes","NA","NA","{""addr:city"":""Auckland"",""addr:housenumber"":""23"",""addr:postcode"":""2022"",""addr:street"":""McIntyre Road"",""addr:suburb"":""Māngere Bridge"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""baptist"",""email"":""david.jenkins@mangerebridgebaptist.com"",""name"":""Bridge Community Church"",""phone"":""+64 9 636 0962"",""ref:linz:address_id"":""1144204"",""religion"":""christian"",""service_times"":""Sundays 10am"",""website"":""https://mangerebridgebaptist.com/""}"
2,"hall_centre_house_site","NZ","w674567185","Bridge Street Christian Centre","christian","","60, Bridge Street, Whakatāne, Whakatāne, 3120","place_of_worship","yes","NA","NA","{""addr:city"":""Whakatāne"",""addr:housenumber"":""60"",""addr:postcode"":""3120"",""addr:street"":""Bridge Street"",""addr:suburb"":""Whakatāne"",""amenity"":""place_of_worship"",""building"":""yes"",""name"":""Bridge Street Christian Centre"",""ref:linz:address_id"":""849623"",""religion"":""christian"",""start_date"":""1988""}"
2,"hall_centre_house_site","NZ","w650860321","Brockville Community Church","christian","presbyterian","274, Brockville Road, Brockville, Dunedin, 9011","place_of_worship","yes","NA","NA","{""addr:city"":""Dunedin"",""addr:housenumber"":""274"",""addr:postcode"":""9011"",""addr:street"":""Brockville Road"",""addr:suburb"":""Brockville"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""presbyterian"",""email"":""andrew@brockvillechurch.org.nz"",""name"":""Brockville Community Church"",""phone"":""+64 3 476 4380"",""ref:linz:address_id"":""1632595"",""religion"":""christian"",""service_times"":""Su 10:00""}"
2,"hall_centre_house_site","NZ","w518443795","Browns Bay Baha'i Centre","bahai","","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""name"":""Browns Bay Baha'i Centre"",""religion"":""bahai""}"
2,"hall_centre_house_site","NZ","w278747285","Bunnythorpe Community Church","christian","methodist","1, Baring Street, Bunnythorpe, Palmerston North, 4481","place_of_worship","yes","NA","NA","{""addr:city"":""Palmerston North"",""addr:housename"":""Methodist Church"",""addr:housenumber"":""1"",""addr:postcode"":""4481"",""addr:street"":""Baring Street"",""addr:suburb"":""Bunnythorpe"",""amenity"":""place_of_worship"",""building"":""yes"",""date"":""Fri Dec 23 00:00:00 NZDT 2011"",""denomination"":""methodist"",""height"":""6.0"",""name"":""Bunnythorpe Community Church"",""religion"":""christian"",""source"":""Urban Aerials 2010""}"
2,"hall_centre_house_site","NZ","w139243971","Burnside Elim Community Church","christian","pentecostal","193, Grahams Road, Burnside, Christchurch, 8053","place_of_worship","yes","NA","NA","{""addr:city"":""Christchurch"",""addr:country"":""NZ"",""addr:housenumber"":""193"",""addr:postcode"":""8053"",""addr:street"":""Grahams Road"",""addr:suburb"":""Burnside"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""pentecostal"",""name"":""Burnside Elim Community Church"",""phone"":""+64 3 358 4486"",""ref:linz:address_id"":""181169"",""religion"":""christian"",""start_date"":""1981"",""website"":""http://www.elim.org.nz/""}"
2,"hall_centre_house_site","NZ","n10148971494","Calvary Community Co Seventh-Day Adventist Church","christian","seventh_day_adventist","12, High Street, Ōtāhuhu, Auckland, 1062","place_of_worship","","-36.9449","174.8459","{""addr:city"":""Auckland"",""addr:housenumber"":""12"",""addr:place"":""Otahuhu Community Hall"",""addr:postcode"":""1062"",""addr:street"":""High Street"",""addr:suburb"":""Ōtāhuhu"",""amenity"":""place_of_worship"",""denomination"":""seventh_day_adventist"",""name"":""Calvary Community Co Seventh-Day Adventist Church"",""ref:linz:address_id"":""2290401"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w383202846","Calvin Community Church","christian","presbyterian","25, Robertson Street, Gore, 9710","place_of_worship","yes","NA","NA","{""addr:city"":""Gore"",""addr:housenumber"":""25"",""addr:postcode"":""9710"",""addr:street"":""Robertson Street"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""presbyterian"",""name"":""Calvin Community Church"",""religion"":""christian"",""start_date"":""1981""}"
2,"hall_centre_house_site","NZ","w344478334","Cambridge Elim Christian Centre","christian","pentecostal","8, Wordsworth Street, Leamington, Cambridge, 3432","place_of_worship","yes","NA","NA","{""addr:city"":""Cambridge"",""addr:housenumber"":""8"",""addr:postcode"":""3432"",""addr:street"":""Wordsworth Street"",""addr:suburb"":""Leamington"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""pentecostal"",""name"":""Cambridge Elim Christian Centre"",""ref:linz:address_id"":""900904"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w791944432","Carterton Gospel Hall","christian","brethren","265, High Street South, Carterton, Carterton, 5713","place_of_worship","yes","NA","NA","{""addr:city"":""Carterton"",""addr:housenumber"":""265"",""addr:postcode"":""5713"",""addr:street"":""High Street South"",""addr:suburb"":""Carterton"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""brethren"",""name"":""Carterton Gospel Hall"",""ref:linz:address_id"":""516521"",""religion"":""christian"",""start_date"":""1963""}"
2,"hall_centre_house_site","NZ","n8601090266","Catholic Centre","christian","roman_catholic","","","","-40.3514","175.6164","{""denomination"":""roman_catholic"",""name"":""Catholic Centre"",""office"":""religion"",""operator"":""Roman Catholic Diocese of Palmerston North"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w463053976","Catholic Centre","unknown","catholic","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""catholic"",""name"":""Catholic Centre""}"
2,"hall_centre_house_site","NZ","w426266845","Cedar Centre Birkdale & Beachhaven Anglican Church","christian","anglican","56A, Tramway Road, Beach Haven, Auckland, 0626","place_of_worship","yes","NA","NA","{""addr:city"":""Auckland"",""addr:housenumber"":""56A"",""addr:postcode"":""0626"",""addr:street"":""Tramway Road"",""addr:suburb"":""Beach Haven"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""anglican"",""name"":""Cedar Centre Birkdale & Beachhaven Anglican Church"",""religion"":""christian"",""website"":""https://www.cedarcentre.org.nz/"",""wikidata"":""Q131618767""}"
2,"hall_centre_house_site","NZ","w102938460","Celebration Centre Church","christian","evangelical","81, Bickerton Street, Wainoni, Christchurch, 8061","place_of_worship","yes","NA","NA","{""addr:city"":""Christchurch"",""addr:country"":""NZ"",""addr:housenumber"":""81"",""addr:postcode"":""8061"",""addr:street"":""Bickerton Street"",""addr:suburb"":""Wainoni"",""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""evangelical"",""name"":""Celebration Centre Church"",""phone"":""+64 3 373 8032"",""ref:linz:address_id"":""263582"",""religion"":""christian"",""service_times"":""Su 08:30, 09:30, 11:15"",""start_date"":""1990"",""website"":""https://www.celebrationcentre.com/""}"
2,"hall_centre_house_site","NZ","w819994566","Centre Church","christian","","5/9, Hurley Road, Paraparaumu, 5032","place_of_worship","yes","NA","NA","{""addr:city"":""Paraparaumu"",""addr:housenumber"":""5/9"",""addr:postcode"":""5032"",""addr:street"":""Hurley Road"",""amenity"":""place_of_worship"",""building"":""yes"",""layer"":""1"",""name"":""Centre Church"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w295174786","Cession Community Church","christian","","Depot Lane, Lloyd Elsmore Park, Pakuranga, Auckland, 2010","place_of_worship","yes","NA","NA","{""addr:city"":""Pakuranga, Auckland"",""addr:postcode"":""2010"",""addr:street"":""Depot Lane, Lloyd Elsmore Park"",""amenity"":""place_of_worship"",""building"":""yes"",""email"":""info@cession.org.nz"",""name"":""Cession Community Church"",""phone"":""+64 9 535 5090"",""religion"":""christian"",""service_times"":""Sundays 5pm"",""website"":""https://www.cession.org.nz/""}"
2,"hall_centre_house_site","NZ","w354548965","Chanel Centre","christian","catholic","","place_of_worship","yes","NA","NA","{""amenity"":""place_of_worship"",""building"":""yes"",""denomination"":""catholic"",""name"":""Chanel Centre"",""religion"":""christian""}"
2,"hall_centre_house_site","NZ","w255997393","Chapel Hill Community Church / The Vine","christian","","2, Cate Road, Rototuna, Hamilton, 3210","place_of_worship","yes","NA","NA","{""addr:city"":""Hamilton"",""addr:housenumber"":""2"",""addr:postcode"":""3210"",""addr:street"":""Cate Road"",""addr:suburb"":""Rototuna"",""amenity"":""place_of_worship"",""building"":""yes"",""name"":""Chapel Hill Community Church / The Vine"",""ref:linz:address_id"":""675185"",""religion"":""christian"",""website"":""https://chapelhill.org.nz/""}"
