"gisjoin","year","boundary_year","area_name","source_area_name","state_name","state_code","county_name","county_code","population_total","population_reference_year","church_or_edifice_count","church_count_basis","church_seating_count","church_seating_per_100_population","churches_or_edifices_per_10000_residents","church_property_value","member_count","members_per_100_population","land_area_sq_km","quality_flag"
"G3700010",1906,1930,"Alamance, North Carolina","Alamance","North Carolina","370","Alamance","0010",28712,1910,,,,,,,10174,35.4347,1125.94,"wave_coverage_differs;period_boundary_vintage_differs"
"G0600010",1906,1930,"Alameda, California","Alameda","California","060","Alameda","0010",246131,1910,,,,,,,65852,26.7549,1928.1,"wave_coverage_differs;period_boundary_vintage_differs"
"G3600010",1906,1930,"Albany, New York","Albany","New York","360","Albany","0010",173666,1910,,,,,,,94919,54.6561,1381.04,"wave_coverage_differs;period_boundary_vintage_differs"
"G5600010",1906,1930,"Albany, Wyoming","Albany","Wyoming","560","Albany","0010",11574,1910,,,,,,,1841,15.9063,11460.16,"wave_coverage_differs;period_boundary_vintage_differs"
"G5100030",1906,1930,"Albemarle, Virginia","Albemarle","Virginia","510","Albemarle","0030",29871,1910,,,,,,,11704,39.1818,1898.61,"wave_coverage_differs;period_boundary_vintage_differs"
"G2600010",1906,1930,"Alcona, Michigan","Alcona","Michigan","260","Alcona","0010",5703,1910,,,,,,,1301,22.8126,1798.79,"wave_coverage_differs;period_boundary_vintage_differs"
"G2800030",1906,1930,"Alcorn, Mississippi","Alcorn","Mississippi","280","Alcorn","0030",18159,1910,,,,,,,6102,33.6032,1039.52,"wave_coverage_differs;period_boundary_vintage_differs"
"G1700030",1906,1930,"Alexander, Illinois","Alexander","Illinois","170","Alexander","0030",22741,1910,,,,,,,5786,25.443,654.01,"wave_coverage_differs;period_boundary_vintage_differs"
"G3700030",1906,1930,"Alexander, North Carolina","Alexander","North Carolina","370","Alexander","0030",11592,1910,,,,,,,4815,41.5373,681.59,"wave_coverage_differs;period_boundary_vintage_differs"
"G5105100",1906,1930,"Alexandria City, Virginia","Alexandria City","Virginia","510","Alexandria City","5100",15329,1910,,,,,,,7429,48.4637,18.02,"wave_coverage_differs;period_boundary_vintage_differs"
"G4000030",1906,1930,"Alfalfa, Oklahoma","Alfalfa","Oklahoma","400","Alfalfa","0030",18138,1910,,,,,,,3976,21.9208,2282.66,"wave_coverage_differs;period_boundary_vintage_differs"
"G2600030",1906,1930,"Alger, Michigan","Alger","Michigan","260","Alger","0030",7675,1910,,,,,,,2325,30.2932,2427.06,"wave_coverage_differs;period_boundary_vintage_differs"
"G1900050",1906,1930,"Allamakee, Iowa","Allamakee","Iowa","190","Allamakee","0050",17328,1910,,,,,,,9513,54.8996,1706.21,"wave_coverage_differs;period_boundary_vintage_differs"
"G2600050",1906,1930,"Allegan, Michigan","Allegan","Michigan","260","Allegan","0050",39819,1910,,,,,,,8218,20.6384,2182.07,"wave_coverage_differs;period_boundary_vintage_differs"
"G2400010",1906,1930,"Allegany, Maryland","Allegany","Maryland","240","Allegany","0010",62411,1910,,,,,,,25529,40.9046,1113.46,"wave_coverage_differs;period_boundary_vintage_differs"
"G3600030",1906,1930,"Allegany, New York","Allegany","New York","360","Allegany","0030",41412,1910,,,,,,,13515,32.6355,2679.05,"wave_coverage_differs;period_boundary_vintage_differs"
"G3700050",1906,1930,"Alleghany, North Carolina","Alleghany","North Carolina","370","Alleghany","0050",7745,1910,,,,,,,1493,19.277,612.49,"wave_coverage_differs;period_boundary_vintage_differs"
"G5100050",1906,1930,"Alleghany, Virginia","Alleghany","Virginia","510","Alleghany","0050",14173,1910,,,,,,,4316,30.4523,1172.16,"wave_coverage_differs;period_boundary_vintage_differs"
"G4200030",1906,1930,"Allegheny, Pennsylvania","Allegheny","Pennsylvania","420","Allegheny","0030",1018463,1910,,,,,,,444793,43.673,1928.72,"wave_coverage_differs;period_boundary_vintage_differs"
"G1800030",1906,1930,"Allen, Indiana","Allen","Indiana","180","Allen","0030",93386,1910,,,,,,,30117,32.25,1709.45,"wave_coverage_differs;period_boundary_vintage_differs"
"G2000010",1906,1930,"Allen, Kansas","Allen","Kansas","200","Allen","0010",27640,1910,,,,,,,6911,25.0036,1308.78,"wave_coverage_differs;period_boundary_vintage_differs"
"G2100030",1906,1930,"Allen, Kentucky","Allen","Kentucky","210","Allen","0030",14882,1910,,,,,,,5485,36.8566,911.2,"wave_coverage_differs;period_boundary_vintage_differs"
"G3900030",1906,1930,"Allen, Ohio","Allen","Ohio","390","Allen","0030",56580,1910,,,,,,,21463,37.9339,1053.73,"wave_coverage_differs;period_boundary_vintage_differs"
"G2600070",1906,1930,"Alpena, Michigan","Alpena","Michigan","260","Alpena","0070",19965,1910,,,,,,,8430,42.2239,1539.72,"wave_coverage_differs;period_boundary_vintage_differs"
"G0600030",1906,1930,"Alpine, California","Alpine","California","060","Alpine","0030",309,1910,,,,,,,0,0,1924.86,"wave_coverage_differs;period_boundary_vintage_differs"
"G0600050",1906,1930,"Amador, California","Amador","California","060","Amador","0050",9086,1910,,,,,,,6206,68.3029,1569.41,"wave_coverage_differs;period_boundary_vintage_differs"
"G5100070",1906,1930,"Amelia, Virginia","Amelia","Virginia","510","Amelia","0070",8720,1910,,,,,,,5112,58.6239,928.57,"wave_coverage_differs;period_boundary_vintage_differs"
"G5100090",1906,1930,"Amherst, Virginia","Amherst","Virginia","510","Amherst","0090",18932,1910,,,,,,,7519,39.7158,1240.21,"wave_coverage_differs;period_boundary_vintage_differs"
"G2800050",1906,1930,"Amite, Mississippi","Amite","Mississippi","280","Amite","0050",22954,1910,,,,,,,11596,50.5184,1894.87,"wave_coverage_differs;period_boundary_vintage_differs"
"G2000030",1906,1930,"Anderson, Kansas","Anderson","Kansas","200","Anderson","0030",13829,1910,,,,,,,4380,31.6726,1511.89,"wave_coverage_differs;period_boundary_vintage_differs"
"G2100050",1906,1930,"Anderson, Kentucky","Anderson","Kentucky","210","Anderson","0050",10146,1910,,,,,,,3516,34.6541,526.41,"wave_coverage_differs;period_boundary_vintage_differs"
"G4500070",1906,1930,"Anderson, South Carolina","Anderson","South Carolina","450","Anderson","0070",69568,1910,,,,,,,28856,41.4788,1961.7,"wave_coverage_differs;period_boundary_vintage_differs"
"G4700010",1906,1930,"Anderson, Tennessee","Anderson","Tennessee","470","Anderson","0010",17717,1910,,,,,,,5913,33.3747,893.01,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800010",1906,1930,"Anderson, Texas","Anderson","Texas","480","Anderson","0010",29650,1910,,,,,,,11122,37.511,2791.97,"wave_coverage_differs;period_boundary_vintage_differs"
"G2900030",1906,1930,"Andrew, Missouri","Andrew","Missouri","290","Andrew","0030",15282,1910,,,,,,,5274,34.5112,1130.33,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800030",1906,1930,"Andrews, Texas","Andrews","Texas","480","Andrews","0030",975,1910,,,,,,,0,0,3887.73,"wave_coverage_differs;period_boundary_vintage_differs"
"G2300010",1906,1930,"Androscoggin, Maine","Androscoggin","Maine","230","Androscoggin","0010",59822,1910,,,,,,,28646,47.8854,1287.87,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800050",1906,1930,"Angelina, Texas","Angelina","Texas","480","Angelina","0050",17705,1910,,,,,,,4318,24.3886,2239.56,"wave_coverage_differs;period_boundary_vintage_differs"
"G2400030",1906,1930,"Anne Arundel, Maryland","Anne Arundel","Maryland","240","Anne Arundel","0030",39553,1910,,,,,,,10720,27.1029,1085.44,"wave_coverage_differs;period_boundary_vintage_differs"
"G2700030",1906,1930,"Anoka, Minnesota","Anoka","Minnesota","270","Anoka","0030",12493,1910,,,,,,,4095,32.7784,1155.49,"wave_coverage_differs;period_boundary_vintage_differs"
"G3700070",1906,1930,"Anson, North Carolina","Anson","North Carolina","370","Anson","0070",25465,1910,,,,,,,10788,42.364,1391.08,"wave_coverage_differs;period_boundary_vintage_differs"
"G3100030",1906,1930,"Antelope, Nebraska","Antelope","Nebraska","310","Antelope","0030",14003,1910,,,,,,,2735,19.5315,2223.74,"wave_coverage_differs;period_boundary_vintage_differs"
"G2600090",1906,1930,"Antrim, Michigan","Antrim","Michigan","260","Antrim","0090",15692,1910,,,,,,,3497,22.2852,1359.62,"wave_coverage_differs;period_boundary_vintage_differs"
"G1900070",1906,1930,"Appanoose, Iowa","Appanoose","Iowa","190","Appanoose","0070",28701,1910,,,,,,,8401,29.2708,1337.07,"wave_coverage_differs;period_boundary_vintage_differs"
"G1300010",1906,1930,"Appling, Georgia","Appling","Georgia","130","Appling","0010",12318,1910,,,,,,,3577,29.0388,1326.71,"wave_coverage_differs;period_boundary_vintage_differs"
"G5100110",1906,1930,"Appomattox, Virginia","Appomattox","Virginia","510","Appomattox","0110",8904,1910,,,,,,,4661,52.3473,866.95,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800070",1906,1930,"Aransas, Texas","Aransas","Texas","480","Aransas","0070",2106,1910,,,,,,,444,21.0826,665.71,"wave_coverage_differs;period_boundary_vintage_differs"
"G0800050",1906,1930,"Arapahoe (South Arapahoe), Colorado","Arapahoe","Colorado","080","Arapahoe","0050",10263,1910,,,,,,,841,8.1945,2158.37,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800090",1906,1930,"Archer, Texas","Archer","Texas","480","Archer","0090",6525,1910,,,,,,,1054,16.1533,2396.82,"wave_coverage_differs;period_boundary_vintage_differs"
"G0800070",1906,1930,"Archuleta, Colorado","Archuleta","Colorado","080","Archuleta","0070",3302,1910,,,,,,,722,21.8655,3510.69,"wave_coverage_differs;period_boundary_vintage_differs"
"G2600110",1906,1930,"Arenac, Michigan","Arenac","Michigan","260","Arenac","0110",9640,1910,,,,,,,2963,30.7365,953.39,"wave_coverage_differs;period_boundary_vintage_differs"
"G0500010",1906,1930,"Arkansas, Arkansas","Arkansas","Arkansas","050","Arkansas","0010",16103,1910,,,,,,,3548,22.0332,2677.35,"wave_coverage_differs;period_boundary_vintage_differs"
"G4200050",1906,1930,"Armstrong, Pennsylvania","Armstrong","Pennsylvania","420","Armstrong","0050",67880,1910,,,,,,,26029,38.3456,1719.59,"wave_coverage_differs;period_boundary_vintage_differs"
"G4600010",1906,1930,"Armstrong, South Dakota","Armstrong","South Dakota","460","Armstrong","0010",647,1910,,,,,,,148,22.8748,1392.85,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800110",1906,1930,"Armstrong, Texas","Armstrong","Texas","480","Armstrong","0110",2682,1910,,,,,,,560,20.8799,2366.8,"wave_coverage_differs;period_boundary_vintage_differs"
"G2300030",1906,1930,"Aroostook, Maine","Aroostook","Maine","230","Aroostook","0030",74664,1910,,,,,,,25255,33.8249,17686.02,"wave_coverage_differs;period_boundary_vintage_differs"
"G2200050",1906,1930,"Ascension, Louisiana","Ascension","Louisiana","220","Ascension","0050",23887,1910,,,,,,,13164,55.1095,784.35,"wave_coverage_differs;period_boundary_vintage_differs"
"G3700090",1906,1930,"Ashe, North Carolina","Ashe","North Carolina","370","Ashe","0090",19074,1910,,,,,,,4753,24.9187,1112.13,"wave_coverage_differs;period_boundary_vintage_differs"
"G3900050",1906,1930,"Ashland, Ohio","Ashland","Ohio","390","Ashland","0050",22975,1910,,,,,,,10824,47.1121,1105.4,"wave_coverage_differs;period_boundary_vintage_differs"
"G5500030",1906,1930,"Ashland, Wisconsin","Ashland","Wisconsin","550","Ashland","0030",21965,1910,,,,,,,13651,62.1489,2730.87,"wave_coverage_differs;period_boundary_vintage_differs"
"G0500030",1906,1930,"Ashley, Arkansas","Ashley","Arkansas","050","Ashley","0030",25268,1910,,,,,,,7460,29.5235,2432.47,"wave_coverage_differs;period_boundary_vintage_differs"
"G3900070",1906,1930,"Ashtabula, Ohio","Ashtabula","Ohio","390","Ashtabula","0070",59547,1910,,,,,,,17049,28.6312,1836.85,"wave_coverage_differs;period_boundary_vintage_differs"
"G5300030",1906,1930,"Asotin, Washington","Asotin","Washington","530","Asotin","0030",5831,1910,,,,,,,998,17.1154,1659.2,"wave_coverage_differs;period_boundary_vintage_differs"
"G2200070",1906,1930,"Assumption, Louisiana","Assumption","Louisiana","220","Assumption","0070",24128,1910,,,,,,,18205,75.4518,944.13,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800130",1906,1930,"Atascosa, Texas","Atascosa","Texas","480","Atascosa","0130",10004,1910,,,,,,,1947,19.4622,3163.62,"wave_coverage_differs;period_boundary_vintage_differs"
"G2000050",1906,1930,"Atchison, Kansas","Atchison","Kansas","200","Atchison","0050",28107,1910,,,,,,,9730,34.6177,1107.39,"wave_coverage_differs;period_boundary_vintage_differs"
"G2900050",1906,1930,"Atchison, Missouri","Atchison","Missouri","290","Atchison","0050",13604,1910,,,,,,,4779,35.1294,1417.74,"wave_coverage_differs;period_boundary_vintage_differs"
"G3900090",1906,1930,"Athens, Ohio","Athens","Ohio","390","Athens","0090",47798,1910,,,,,,,11506,24.0721,1316.86,"wave_coverage_differs;period_boundary_vintage_differs"
"G3400010",1906,1930,"Atlantic, New Jersey","Atlantic","New Jersey","340","Atlantic","0010",71894,1910,,,,,,,19005,26.4348,1470.6,"wave_coverage_differs;period_boundary_vintage_differs"
"G4000050",1906,1930,"Atoka, Oklahoma","Atoka","Oklahoma","400","Atoka","0050",13808,1910,,,,,,,2161,15.6503,2563.87,"wave_coverage_differs;period_boundary_vintage_differs"
"G2800070",1906,1930,"Attala, Mississippi","Attala","Mississippi","280","Attala","0070",28851,1910,,,,,,,10496,36.38,1908.05,"wave_coverage_differs;period_boundary_vintage_differs"
"G2900070",1906,1930,"Audrain, Missouri","Audrain","Missouri","290","Audrain","0070",21687,1910,,,,,,,10254,47.2818,1804.76,"wave_coverage_differs;period_boundary_vintage_differs"
"G1900090",1906,1930,"Audubon, Iowa","Audubon","Iowa","190","Audubon","0090",12671,1910,,,,,,,4101,32.3652,1148.42,"wave_coverage_differs;period_boundary_vintage_differs"
"G3900110",1906,1930,"Auglaize, Ohio","Auglaize","Ohio","390","Auglaize","0110",31246,1910,,,,,,,11684,37.3936,1040.93,"wave_coverage_differs;period_boundary_vintage_differs"
"G5100150",1906,1930,"Augusta, Virginia","Augusta","Virginia","510","Augusta","0150",32445,1910,,,,,,,14282,44.0191,2600.48,"wave_coverage_differs;period_boundary_vintage_differs"
"G4600030",1906,1930,"Aurora, South Dakota","Aurora","South Dakota","460","Aurora","0030",6143,1910,,,,,,,1420,23.1157,1846,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800150",1906,1930,"Austin, Texas","Austin","Texas","480","Austin","0150",17699,1910,,,,,,,7163,40.4712,1700.27,"wave_coverage_differs;period_boundary_vintage_differs"
"G0100010",1906,1930,"Autauga, Alabama","Autauga","Alabama","010","Autauga","0010",20038,1910,,,,,,,8236,41.1019,1565.33,"wave_coverage_differs;period_boundary_vintage_differs"
"G2200090",1906,1930,"Avoyelles, Louisiana","Avoyelles","Louisiana","220","Avoyelles","0090",34102,1910,,,,,,,25113,73.6408,2242.19,"wave_coverage_differs;period_boundary_vintage_differs"
"G0800090",1906,1930,"Baca, Colorado","Baca","Colorado","080","Baca","0090",2516,1910,,,,,,,130,5.1669,6623.47,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800170",1906,1930,"Bailey, Texas","Bailey","Texas","480","Bailey","0170",312,1910,,,,,,,0,0,2143.16,"wave_coverage_differs;period_boundary_vintage_differs"
"G1200030",1906,1930,"Baker, Florida","Baker","Florida","120","Baker","0030",4805,1910,,,,,,,598,12.4454,1525.33,"wave_coverage_differs;period_boundary_vintage_differs"
"G1300070",1906,1930,"Baker, Georgia","Baker","Georgia","130","Baker","0070",7973,1910,,,,,,,1668,20.9206,904.34,"wave_coverage_differs;period_boundary_vintage_differs"
"G4100010",1906,1930,"Baker, Oregon","Baker","Oregon","410","Baker","0010",18076,1910,,,,,,,4340,24.0097,7999.02,"wave_coverage_differs;period_boundary_vintage_differs"
"G0100030",1906,1930,"Baldwin, Alabama","Baldwin","Alabama","010","Baldwin","0030",18178,1910,,,,,,,5695,31.3291,4211.24,"wave_coverage_differs;period_boundary_vintage_differs"
"G1300090",1906,1930,"Baldwin, Georgia","Baldwin","Georgia","130","Baldwin","0090",18354,1910,,,,,,,7494,40.8303,690.59,"wave_coverage_differs;period_boundary_vintage_differs"
"G2100070",1906,1930,"Ballard, Kentucky","Ballard","Kentucky","210","Ballard","0070",12690,1910,,,,,,,3791,29.8739,710.27,"wave_coverage_differs;period_boundary_vintage_differs"
"G2400050",1906,1930,"Baltimore, Maryland","Baltimore","Maryland","240","Baltimore","0050",122349,1910,,,,,,,34961,28.5748,1575.5,"wave_coverage_differs;period_boundary_vintage_differs"
"G2405100",1906,1930,"Baltimore City, Maryland","Baltimore City","Maryland","240","Baltimore City","5100",558485,1910,,,,,,,224968,40.2818,210.89,"wave_coverage_differs;period_boundary_vintage_differs"
"G4500090",1906,1930,"Bamberg, South Carolina","Bamberg","South Carolina","450","Bamberg","0090",18544,1910,,,,,,,9384,50.604,1024.5,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800190",1906,1930,"Bandera, Texas","Bandera","Texas","480","Bandera","0190",4921,1910,,,,,,,838,17.0291,2065.87,"wave_coverage_differs;period_boundary_vintage_differs"
"G1300110",1906,1930,"Banks, Georgia","Banks","Georgia","130","Banks","0110",11244,1910,,,,,,,4994,44.4148,605.82,"wave_coverage_differs;period_boundary_vintage_differs"
"G3100070",1906,1930,"Banner, Nebraska","Banner","Nebraska","310","Banner","0070",1444,1910,,,,,,,50,3.4626,1933.07,"wave_coverage_differs;period_boundary_vintage_differs"
"G1600050",1906,1930,"Bannock, Idaho","Bannock","Idaho","160","Bannock","0050",19242,1910,,,,,,,8503,44.1898,2971.85,"wave_coverage_differs;period_boundary_vintage_differs"
"G2600130",1906,1930,"Baraga, Michigan","Baraga","Michigan","260","Baraga","0130",6127,1910,,,,,,,5766,94.108,2375.32,"wave_coverage_differs;period_boundary_vintage_differs"
"G2000070",1906,1930,"Barber, Kansas","Barber","Kansas","200","Barber","0070",9916,1910,,,,,,,1533,15.4599,2942.66,"wave_coverage_differs;period_boundary_vintage_differs"
"G0100050",1906,1930,"Barbour, Alabama","Barbour","Alabama","010","Barbour","0050",32728,1910,,,,,,,15086,46.0951,2342.61,"wave_coverage_differs;period_boundary_vintage_differs"
"G5400010",1906,1930,"Barbour, West Virginia","Barbour","West Virginia","540","Barbour","0010",15858,1910,,,,,,,5537,34.9161,888,"wave_coverage_differs;period_boundary_vintage_differs"
"G3800030",1906,1930,"Barnes, North Dakota","Barnes","North Dakota","380","Barnes","0030",18066,1910,,,,,,,5931,32.8296,3919.7,"wave_coverage_differs;period_boundary_vintage_differs"
"G2500010",1906,1930,"Barnstable, Massachusetts","Barnstable","Massachusetts","250","Barnstable","0010",27542,1910,,,,,,,7998,29.0393,1082.43,"wave_coverage_differs;period_boundary_vintage_differs"
"G4500110",1906,1930,"Barnwell, South Carolina","Barnwell","South Carolina","450","Barnwell","0110",34209,1910,,,,,,,17945,52.457,1443.3,"wave_coverage_differs;period_boundary_vintage_differs"
"G2100090",1906,1930,"Barren, Kentucky","Barren","Kentucky","210","Barren","0090",25293,1910,,,,,,,10121,40.015,1295.4,"wave_coverage_differs;period_boundary_vintage_differs"
"G5500050",1906,1930,"Barron, Wisconsin","Barron","Wisconsin","550","Barron","0050",29114,1910,,,,,,,10047,34.5092,2304.49,"wave_coverage_differs;period_boundary_vintage_differs"
"G2600150",1906,1930,"Barry, Michigan","Barry","Michigan","260","Barry","0150",22633,1910,,,,,,,4050,17.8942,1494.53,"wave_coverage_differs;period_boundary_vintage_differs"
"G2900090",1906,1930,"Barry, Missouri","Barry","Missouri","290","Barry","0090",23869,1910,,,,,,,7242,30.3406,2048.57,"wave_coverage_differs;period_boundary_vintage_differs"
"G1800050",1906,1930,"Bartholomew, Indiana","Bartholomew","Indiana","180","Bartholomew","0050",24813,1910,,,,,,,11962,48.2086,1060.65,"wave_coverage_differs;period_boundary_vintage_differs"
"G2000090",1906,1930,"Barton, Kansas","Barton","Kansas","200","Barton","0090",17876,1910,,,,,,,6227,34.8344,2332.63,"wave_coverage_differs;period_boundary_vintage_differs"
"G2900110",1906,1930,"Barton, Missouri","Barton","Missouri","290","Barton","0110",16747,1910,,,,,,,4428,26.4406,1545.5,"wave_coverage_differs;period_boundary_vintage_differs"
"G1300150",1906,1930,"Bartow, Georgia","Bartow","Georgia","130","Bartow","0150",25388,1910,,,,,,,9008,35.4813,1217.37,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800210",1906,1930,"Bastrop, Texas","Bastrop","Texas","480","Bastrop","0210",25344,1910,,,,,,,9508,37.5158,2319.47,"wave_coverage_differs;period_boundary_vintage_differs"
"G2900130",1906,1930,"Bates, Missouri","Bates","Missouri","290","Bates","0130",25869,1910,,,,,,,9311,35.9929,2205.07,"wave_coverage_differs;period_boundary_vintage_differs"
"G2100110",1906,1930,"Bath, Kentucky","Bath","Kentucky","210","Bath","0110",13988,1910,,,,,,,4371,31.2482,735.41,"wave_coverage_differs;period_boundary_vintage_differs"
"G5100170",1906,1930,"Bath, Virginia","Bath","Virginia","510","Bath","0170",6538,1910,,,,,,,1858,28.4185,1384.56,"wave_coverage_differs;period_boundary_vintage_differs"
"G0500050",1906,1930,"Baxter, Arkansas","Baxter","Arkansas","050","Baxter","0050",10389,1910,,,,,,,1707,16.4308,1519.59,"wave_coverage_differs;period_boundary_vintage_differs"
"G2600170",1906,1930,"Bay, Michigan","Bay","Michigan","260","Bay","0170",68238,1910,,,,,,,34179,50.0879,1162.26,"wave_coverage_differs;period_boundary_vintage_differs"
"G5500070",1906,1930,"Bayfield, Wisconsin","Bayfield","Wisconsin","550","Bayfield","0070",15987,1910,,,,,,,4001,25.0266,3914.21,"wave_coverage_differs;period_boundary_vintage_differs"
"G4800230",1906,1930,"Baylor, Texas","Baylor","Texas","480","Baylor","0230",8411,1910,,,,,,,1390,16.526,2333.76,"wave_coverage_differs;period_boundary_vintage_differs"
"G4600050",1906,1930,"Beadle, South Dakota","Beadle","South Dakota","460","Beadle","0050",15776,1910,,,,,,,2928,18.5598,3275.85,"wave_coverage_differs;period_boundary_vintage_differs"
"G1600070",1906,1930,"Bear Lake, Idaho","Bear Lake","Idaho","160","Bear Lake","0070",7729,1910,,,,,,,4681,60.5641,2717.99,"wave_coverage_differs;period_boundary_vintage_differs"
"G3700130",1906,1930,"Beaufort, North Carolina","Beaufort","North Carolina","370","Beaufort","0130",30877,1910,,,,,,,11141,36.0819,2152.81,"wave_coverage_differs;period_boundary_vintage_differs"
"G4500130",1906,1930,"Beaufort, South Carolina","Beaufort","South Carolina","450","Beaufort","0130",30355,1910,,,,,,,18870,62.1644,1684.94,"wave_coverage_differs;period_boundary_vintage_differs"
"G4000070",1906,1930,"Beaver, Oklahoma","Beaver","Oklahoma","400","Beaver","0070",13631,1910,,,,,,,1464,10.7402,4707.52,"wave_coverage_differs;period_boundary_vintage_differs"
"G4200070",1906,1930,"Beaver, Pennsylvania","Beaver","Pennsylvania","420","Beaver","0070",78353,1910,,,,,,,26476,33.7907,1149.83,"wave_coverage_differs;period_boundary_vintage_differs"
"G4900010",1906,1930,"Beaver, Utah","Beaver","Utah","490","Beaver","0010",4717,1910,,,,,,,1814,38.4566,6713.94,"wave_coverage_differs;period_boundary_vintage_differs"
