"country_code","manifest_path","instrument","wave_count","year_min","year_max","geography_grain","grain_label_verbatim","value_basis","no_religion_category","not_stated_handling","universe_basis_verbatim","licence_posture","small_cell_marks","boundary_licence_verbatim"
"GY","docs/manifests/gy-census-religion-2012.json","census_affiliation","1","2012","2012","adm1","region","counts_and_percent","present","unknown","2012 Population and Housing Census, Final Compendium 2 'Population Composition', Table 2.19 'Distribution of the Population by Religious Affiliation and Administrative Regions'. The denominator is the printed region Total (whole census population, with Not-Stated/No-Contact/Institutional persons prorated across groups). Religious affiliation is the region population minus the None line.","accepted_open","unknown","Open Data Commons Open Database License 1.0"
"HR","docs/manifests/hr-census-religion-2001-2021.json","census_affiliation","3","2001","2021","adm1","county","counts_and_percent","present","unknown","whole census population","accepted_open","unknown","unknown"
"HU","docs/manifests/hu-census-religion-2001-2022.json","census_affiliation","3","2001","2022","adm1","county","counts_and_percent","present","unknown","stated responses: TOTAL minus Nem válaszolt (No answer)","accepted_open","unknown","Eurostat GISCO download provisions and general reuse policy"
"ID","docs/manifests/id-census-religion-2010.json","census_affiliation","1","2010","2010","adm1","province","counts_and_percent","reference_complement_only","separate_line_in_denominator","all persons of all ages; the Total includes Tidak Terjawab (not answered) and Tidak Ditanyakan (not asked)","needs_review_build_then_ask","unknown","Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"
"IE","docs/manifests/ie-census-religion-2011-2022.json","census_affiliation","3","2011","2022","adm1","county_city","counts_and_percent","present","unknown","All religions minus Not stated","unknown","unknown","unknown"
"IL","docs/manifests/il-register-classification-1948-2024.json","register_of_organisations","8","1948","2024","adm1","district","counts_and_percent","present","unknown","unknown","accepted_open","unknown","CBS Open License for information on its website"
"IN","docs/manifests/in-census-religion-2001-2011.json","census_affiliation","2","2001","2011","adm2","district_2001 | district_2011","counts_and_percent","absent_in_published_frame","unknown","C-01 Total persons; religious_affiliation_count is Hindu + Muslim + Christian + Sikh + Buddhist + Jain + Other religions and persuasions; Religion not stated is excluded from the numerator and is not treated as no religion","accepted_open","unknown","unknown"
"IR","docs/manifests/ir-census-religion-2006-2016.json","census_affiliation","3","2006","2016","adm1","province","counts_and_percent","absent_in_published_frame","unknown","unknown","unknown","unknown","Public domain (Natural Earth terms of use)"
"IS","docs/manifests/is-membership-1998-2026.json","administrative_register_membership","29","1998","2026","national","adm0","counts_and_percent","present","unknown","Statistics Iceland PX-Web MAN10001 population on 1 January. Membership is an administrative National Register of Persons construct. The religious_affiliation fields sum the table's 61 named religious and life-stance organisation rows; Other and not specified remains outside both headline fields, and No religious organisation keeps the source name.","accepted_open","unknown","Creative Commons Attribution 4.0 International (CC BY 4.0)"
"IT","docs/manifests/it-attendance-2001-2025.json","attendance_survey","24","2001","2025","adm1","region","percent_only","present","unknown","Resident population aged 6+; respondents aged 14+ answer directly, and for children aged 6-13 a parent answers by proxy. The published value is already a percentage.","accepted_open","unknown","Creative Commons Attribution 4.0 International (CC BY 4.0), unless otherwise stated"
"JM","docs/manifests/jm-census-religion-2011.json","census_affiliation","1","2011","2011","adm1","parish","counts_and_percent","present","unknown","2011 de jure religion universe from STATIN Vol 6 Table 5 ('Population by Sex and Religious Affiliation/Denomination, by Parish'), Total column. The parish denominator is the sum of all the parish's printed category lines, including the non-response line ('Not Reported'/'Not Stated'). The religion universe (2,684,115) sits slightly below the full 2011 de jure census population (2,697,983); the difference is a residual not carried in the religion tabulation.","accepted_open","unknown","unknown"
"KE","docs/manifests/ke-census-religion-2019.json","census_affiliation","1","2019","2019","adm1","county","counts_and_percent","present","unknown","table 2.30 total minus Don't Know and Not Stated","accepted_open","unknown","Public Domain (geoBoundaries Open); source RCMRD GeoPortal via Africa GeoPortal"
"KH","docs/manifests/kh-census-religion-2008-2019.json","census_affiliation","2","2008","2019","adm1","province","percent_only","reference_complement_only","unknown","No source publishes religion counts or a total population by province for either wave; Table 2.5.1 publishes one-decimal percentage shares only. population_total, the per-category counts, religious_affiliation_count and no_religion_count are therefore null and no count is derived from any percentage. The four categories are re-based to 100 percent (the count table's “Not Stated” column is excluded). Under the two-slot minority-share design religious_affiliation_percent carries the Buddhist (reference-group) share and no_religion_percent carries the minority share (the exact complement, the summed Muslims/Christians/Other share); the per-category composition is carried verbatim in quality_flag.","accepted_open","unknown","Open Data Commons Open Database License 1.0 (ODbL); share-alike with attribution"
"KI","docs/manifests/ki-census-religion-1990-2015.json","census_affiliation","6","1990","2015","adm1","island","counts_and_percent","unknown","unknown","all persons, all ages, in every wave (probe-verified); no universe break across 1990-2015","needs_review_build_then_ask","unknown","Open Data Commons Open Database License 1.0 (ODbL)"
"KR","docs/manifests/kr-census-religion-1995-2015.json","census_affiliation","3","1995","2015","mixed","si_gun_gu | sido","counts_and_percent","present","separate_line_in_denominator","KOSIS table total: 1995 계 and 2005 내국인 (명), both including 미상 (unknown), and 2015 계; 2015 is a 20% sample-survey estimate.","accepted_open","unknown","Korea Open Government License Type 1 / KOSTAT free share-remix attribution basis"
"KZ","docs/manifests/kz-census-religion-2009-2021.json","census_affiliation","2","2009","2021","adm1","region","counts_and_percent","present","unknown","unknown","accepted_open","unknown","Open Data Commons Open Database License 1.0 (ODbL)"
"LC","docs/manifests/lc-census-religion-2001-2022.json","census_affiliation","3","2001","2022","adm1","district","counts_and_percent","present","unknown","stated responses: printed district total less Not stated (2001, 2010) or Not reported (2022); national stated denominators 154249 / 163010 / 164770","accepted_open","unknown","unknown"
"LI","docs/manifests/li-census-religion-2010-2020.json","census_affiliation","3","2010","2020","adm1","municipality","counts_and_percent","present","separate_line_in_denominator","published permanent-population total; Ohne Angabe retained","accepted_open","unknown","unknown"
"LK","docs/manifests/lk-census-religion-1981-2024.json","census_affiliation","4","1981","2024","adm1","district","counts_and_percent","reference_complement_only","unknown","district total religion population","accepted_open","absent","Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"
"LT","docs/manifests/lt-census-religion-2001-2021.json","census_affiliation","3","2001","2021","adm1","municipality","counts_and_percent","present","unknown","published Iš viso pagal religiją; Nenurodyta retained","needs_review_build_then_ask","unknown","unknown"
"MD","docs/manifests/md-census-religion-2004-2024.json","census_affiliation","3","2004","2024","adm1","raion","counts_and_percent","present","unknown","unknown","accepted_open","present","Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"
"ME","docs/manifests/me-census-religion-2003-2023.json","census_affiliation","3","2003","2023","adm1","municipality","counts_and_percent","present","unknown","total census population","accepted_open","unknown","Open Data Commons Open Database License 1.0 (ODbL)"
"MH","docs/manifests/mh-census-religion-2021.json","census_affiliation","1","2021","2021","adm1","atoll","counts_and_percent","present","unknown","2021 RMI Census Volume 1 Table 9 'Population by Urban/Rural and atoll by religion', all persons of all ages; the denominator is the printed atoll Total. Religious affiliation is the sum of the fifteen religious categories (every category except None); no-religion is the printed None line only. Zero-population atolls (Bikini, Rongelap) carry zero counts and null shares (zero denominator).","needs_review_build_then_ask","unknown","Open Data Commons Open Database License 1.0"
"MK","docs/manifests/mk-census-religion-2021.json","census_affiliation","1","2021","2021","adm1","municipality","counts_and_percent","present","separate_line_in_denominator","2021 Census of Population, Households and Dwellings in the Republic of North Macedonia, State Statistical Office, book (English edition), table T-06 'Total resident population by religious affiliation and sex, by municipalities'. The universe is the total resident population (1,836,713), which includes 132,260 persons whose data were taken from administrative sources. The denominator is each municipality's printed population total.","accepted_open","unknown","unknown"
"MM","docs/manifests/mm-census-religion-2014.json","census_affiliation","1","2014","2014","adm1","state_region","counts_and_percent","present","unknown","unknown","needs_review_build_then_ask","unknown","Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO)"
"MU","docs/manifests/mu-census-religion-2000-2022.json","census_affiliation","3","2000","2022","adm1","district | island","counts_and_percent","unknown","unknown","full Table D6 resident population","accepted_open","unknown","unknown"
"MW","docs/manifests/mw-census-religion-2018.json","census_affiliation","1","2018","2018","adm1","district","counts_and_percent","present","unknown","table E5 district usual-resident total (no not-stated category)","accepted_open","unknown","unknown"
"MX","docs/manifests/mx-census-religion-2000-2020.json","census_affiliation","3","2000","2020","adm1","municipality","counts_and_percent","present","unknown","2000: p5_catolic plus p5_sinreli for ages 5+; 2010 and 2020: sum of the four retained INEGI ITER constructs","accepted_open","unknown","unknown"
"NL","docs/manifests/nl-survey-religion-2010-2015.json","survey_estimate","6","2010","2015","adm1","province","percent_only","present","unknown","CBS Labour Force Survey estimate for the total population aged 15+; the source publishes rounded whole percentages and no population count or machine-readable uncertainty interval in table 83288NED.","accepted_open","unknown","unknown"
"NO","docs/manifests/no-membership-2005-2025.json","administrative_register_membership","21","2005","2025","adm1","diocese","counts","not_applicable_register_construct","not_applicable","SSB table 06929 publishes Church of Norway member counts by diocese but does not publish a diocese population denominator. This product imports no denominator from table 12025 or another source.","accepted_open","unknown","unknown"
"NP","docs/manifests/np-census-religion-2021.json","census_affiliation","1","2021","2021","adm1","district","counts_and_percent","reference_complement_only","unknown","all persons of all ages (29,164,578)","needs_review_build_then_ask","unknown","unknown"
"NR","docs/manifests/nr-census-religion-2002-2021.json","census_affiliation","3","2002","2021","national","adm0","counts_and_percent","present","unknown","all-persons national total per wave: 10,065 / 9,945 / 11,680","accepted_open","unknown","Public Domain"
"NU","docs/manifests/nu-census-religion-1986-2022.json","census_affiliation","8","1986","2022","national","adm0","counts_and_percent","present","unknown","resident-population total per wave: 2531/2239/2088/1736/1538/1460/1591/1564","accepted_open","unknown","Creative Commons Attribution 4.0 International (CC BY 4.0)"
"NZ","docs/manifests/osm-pow-nz-2013-2025-raw-ohsome-dffb55663f94.json","unknown","3","2013","2023","mixed","statistical_area_2 | territorial_authority","counts_and_percent","present","unknown","total people with a stated religious-affiliation response","accepted_open","present","unknown"
"PE","docs/manifests/pe-census-religion-2007-2017.json","census_affiliation","2","2007","2017","adm1","department","counts_and_percent","present","unknown","unknown","needs_review_build_then_ask","unknown","Public Domain"
"PH","docs/manifests/ph-census-religion-2020.json","census_affiliation","1","2020","2020","adm2","adm2","counts_and_percent","present","folded_or_prorated","household population (108,667,043); differs from total population","accepted_open","unknown","Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"
"PK","docs/manifests/pk-census-religion-2023.json","census_affiliation","1","2023","2023","adm1","district","counts_and_percent","reference_complement_only","unknown","district total population","needs_review_build_then_ask","unknown","Creative Commons Attribution 3.0 IGO (CC BY 3.0 IGO). Verbatim from the HDX CKAN API for cod-ab-pak: license_id 'cc-by-igo', license_title 'Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO)', dataset_source 'World Food Programme SDI', organization 'OCHA Field Information Services Section (FISS)'. The geoBoundaries gbHumanitarian mirror PAK-ADM2-19695364 corroborates the same CC BY 3.0 IGO statement from a second source."
"PL","docs/manifests/pl-attendance-2014-2024.json","attendance_survey","10","2014","2024","adm1","diocese","percent_only","present","unknown","Rates ship without a count base. ISKK dominicantes and communicantes are counts-based percentages over obligati: Catholics obliged to attend Sunday Mass, excluding children under seven, the sick and infirm, the very elderly, and travellers. ISKK counts one October or November Sunday per year. The 2020 count did not take place because of COVID-19, and 2013 is not freely published.","needs_review_build_then_ask","unknown","Mixed boundary basis: ODbL OpenStreetMap anchors plus Eurostat/GISCO LAU-derived digitised polygons"
"PS","docs/manifests/ps-census-religion-1997-2017.json","census_affiliation","3","1997","2017","adm1","governorate","counts_and_percent","absent_in_published_frame","unknown","unknown","needs_review_build_then_ask","unknown","unknown"
"PT","docs/manifests/pt-census-religion-2011-2021.json","census_affiliation","2","2011","2021","adm1","municipality","counts_and_percent","present","unknown","2011 Total minus Não resposta; 2021 Total because no Não resposta category is exposed in the 2021 API extract","unknown","unknown","unknown"
"PW","docs/manifests/pw-census-religion-2005-2020.json","census_affiliation","3","2005","2020","adm1","state","counts_and_percent","present","folded_or_prorated","unknown","needs_review_build_then_ask","unknown","Open Data Commons Open Database License 1.0"
"PY","docs/manifests/py-census-religion-2002.json","census_affiliation","1","2002","2002","adm1","department","counts_and_percent","present","unknown","Population aged 10 and over enumerated in the 2002 census (the religion question, 'Religión que profesa', was asked only of persons 10+; national cuadro P16 universe 'Población de 10 años y más de edad'). Counts extracted from the CELADE INE REDATAM Webserver (base CPV2002) cross-tabulation of religion by department; the detailed denomination list is recoded to the published P16 seven-group frame. The denominator includes the non-response group 'No informado' (REDATAM 'No especificado').","accepted_open","present","unknown"
"RO","docs/manifests/ro-census-religion-2011-2021.json","census_affiliation","2","2011","2021","mixed","judet | lau_2021","counts_and_percent","present","unknown","Total population minus Informatie nedisponibila in each wave","unknown","unknown","unknown"
"RS","docs/manifests/rs-census-religion-2002-2022.json","census_affiliation","3","2002","2022","adm1","area","counts_and_percent","present","unknown","total census population","needs_review_build_then_ask","unknown","Eurostat GISCO download provisions and general reuse policy"
"RW","docs/manifests/rw-census-religion-2012-2022.json","census_affiliation","2","2012","2022","adm1","district","counts_and_percent","present","unknown","stated responses (district population minus not stated); affiliation = named religions, no religion = No Religion category","accepted_open","unknown","Creative Commons Attribution 4.0 International (CC BY 4.0); boundary source Open Data Rwanda (NISR geoportal)"
"SB","docs/manifests/sb-census-religion-2009-2019.json","census_affiliation","2","2009","2019","adm1","province","counts_and_percent","present","unknown","unknown","needs_review_build_then_ask","unknown","Public Domain"
"SC","docs/manifests/sc-census-religion-2022.json","census_affiliation","1","2022","2022","adm1","district","counts_and_percent","present","folded_or_prorated","Seychelles Population and Housing Census 2022, Table B4.1 'Population in all households by religion and region/district' (integer counts). The denominator is the district all-households population. Religious affiliation is the sum of the five clearly-religious categories; no standalone No-religion line is published.","accepted_open","unknown","unknown"
"SE","docs/manifests/se-church-membership-1972-2025.json","administrative_register_membership","54","1972","2025","national","adm0","counts_and_percent","not_applicable_register_construct","not_applicable","The Church of Sweden source prints a member count and a membership share of the population, but it prints no population base. This product never derives a count or denominator from a percentage.","needs_review_build_then_ask","unknown","Open Government Licence v3.0"
"SG","docs/manifests/sg-census-religion-2010-2020.json","census_affiliation","2","2010","2020","adm1","planning_area","counts_and_percent","present","unknown","Resident Population Aged 15 Years and Over","accepted_open","unknown","unknown"
"SK","docs/manifests/sk-census-religion-2001-2021.json","census_affiliation","3","2001","2021","adm1","kraj | municipality","counts_and_percent","present","unknown","All Slovakia waves use the source total population denominator; Nezistené / not found out remains in the denominator and outside religious_affiliation_count.","needs_review_build_then_ask","unknown","unknown"
"TH","docs/manifests/th-census-religion-2010.json","census_affiliation","1","2010","2010","adm1","province","counts_and_percent","present","separate_line_in_denominator","all persons, all ages; province Total row of Table 4","needs_review_build_then_ask","unknown","Open Data Commons Open Database License 1.0"
"TK","docs/manifests/tk-census-religion-2006-2016.json","census_affiliation","3","2006","2016","adm1","atoll","counts_and_percent","present","unknown","usually resident population present in Tokelau on census night","accepted_open","unknown","Creative Commons Attribution 4.0 International (CC BY 4.0)"
"TO","docs/manifests/to-census-religion-2021.json","census_affiliation","1","2021","2021","adm1","district","counts_and_percent","present","unknown","G 19 Total; REF remains in the denominator and outside both headline numerators","accepted_open","unknown","unknown"
"TT","docs/manifests/tt-census-religion-2011.json","census_affiliation","1","2011","2011","adm1","municipality","counts_and_percent","present","unknown","2011 Population and Housing Census Demographic Report, Table 8 'Non-Institutional Population by Sex, Age Group, Religion and Municipality' (Both Sexes, All Ages column). The denominator is the printed municipality Total (non-institutional population). Religious affiliation is the sum of categories 1-15 (fifteen named religions plus the residual Other line). The published table does not close integer-exact; residuals are recorded, not repaired.","needs_review_build_then_ask","unknown","Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO)"
"TV","docs/manifests/tv-census-religion-2012-2022.json","census_affiliation","2","2012","2017","adm1","region","counts_and_percent","present","unknown","region resident population; affiliation = named religions + Other; no religion = None; Refused retained in denominator outside numerators","accepted_open","unknown","Open Data Commons Open Database License 1.0; boundary source recorded by geoBoundaries as OpenStreetMap and Wambacher"
"TW","docs/manifests/tw-register-2020-2024.json","register_of_organisations","5","2020","2024","adm1","county_city","counts","not_applicable_register_construct","not_applicable","MOI household-registration year-end resident population, statis yearbook table 02-01 (人口年齡分配), both-sexes grand total for the county/city.","accepted_open","unknown","unknown"
"UK","docs/manifests/uk-census-religion-2001-2022.json","census_affiliation","4","2001","2022","mixed","ew_ltla | ni_lgd | sco_ca","counts_and_percent","present","unknown","all usual residents minus not answered or religion not stated","accepted_open","unknown","unknown"
"US","docs/manifests/us-nhgis-county-1850-1936.json","unknown","8","1850","1936","adm2","county_1850 | county_1860 | county_1870 | county_1890 | county_1930","counts_and_percent","unknown","unknown","unknown","needs_review_build_then_ask","unknown","publish the derived rates with citation and a pointer to the original NHGIS data, now; he judges the risk acceptable for a research website and takes responsibility for it."
"US","docs/manifests/us-rcms-county-1952-2020.json","survey_estimate","7","1952","2020","adm1","county","counts_and_percent","unknown","unknown","unknown","accepted_open","unknown","unknown"
"VU","docs/manifests/vu-census-religion-2009-2020-d17f5596eca1.json","census_affiliation","4","1967","2020","adm1","province","counts_and_percent","unknown","unknown","unknown","unknown","unknown","unknown"
"WS","docs/manifests/ws-census-religion-2021.json","census_affiliation","1","2021","2021","adm1","constituency","counts_and_percent","reference_complement_only","unknown","constituency total resident population","needs_review_build_then_ask","unknown","unknown"
"XK","docs/manifests/xk-census-religion-2011-2024.json","census_affiliation","2","2011","2024","adm1","municipality","counts_and_percent","present","unknown","unknown","accepted_open","unknown","Creative Commons Attribution-ShareAlike 2.0 (CC BY-SA 2.0)"
